SMILES: C=C[C@]1(C)CC[C@@H](C(=C)C)C[C@H]1C(=C)C, logP: 5.0, SAScore: 8.0, MolWeight: 9.0
SMILES: C=CC=CCCC=C, logP: 3.0, SAScore: 6.0, MolWeight: 6.0
SMILES: C=CCCCCCCCC, logP: 6.0, SAScore: 2.0, MolWeight: 9.0
SMILES: NC(=O)c1ccccc1, logP: -1.0, SAScore: 1.0, MolWeight: 4.0
SMILES: C=CCCCCC, logP: 4.0, SAScore: 2.0, MolWeight: 6.0
SMILES: C=CCCC=CC, logP: 3.0, SAScore: 4.0, MolWeight: 2.0
SMILES: C[S+]([O-])CCCCN=C=S, logP: 2.0, SAScore: 6.0, MolWeight: 6.0
SMILES: C[S+]([O-])CCC(O)C(=O)NO, logP: -2.0, SAScore: 7.0, MolWeight: 5.0
SMILES: OCCO, logP: -2.0, SAScore: 2.0, MolWeight: 8.0
SMILES: CCCCCCCC, logP: 4.0, SAScore: 1.0, MolWeight: 8.0
SMILES: CCC(C)SS, logP: 6.0, SAScore: 4.0, MolWeight: 4.0
SMILES: c1ccccc1, logP: 1.0, SAScore: 1.0, MolWeight: 5.0
SMILES: C=CCC#N, logP: 2.0, SAScore: 4.0, MolWeight: 4.0
SMILES: CC(C)O, logP: 0.0, SAScore: 3.0, MolWeight: 4.0
SMILES: CC#N, logP: 1.0, SAScore: 3.0, MolWeight: 3.0
SMILES: NC=O, logP: -1.0, SAScore: 1.0, MolWeight: 6.0
SMILES: C=CC(C)CC(C)CC(C)C, logP: 6.0, SAScore: 8.0, MolWeight: 3.0
SMILES: [O-][S+]CCCCN=C=S, logP: 2.0, SAScore: 9.0, MolWeight: 9.0
SMILES: NC(N)=O, logP: -2.0, SAScore: 1.0, MolWeight: 8.0
SMILES: Cc1ccccc1, logP: 2.0, SAScore: 1.0, MolWeight: 4.0
SMILES: CC(C)OB(OC(C)C)OC(C)CO, logP: 0.0, SAScore: 9.0, MolWeight: 3.0
SMILES: N=CN, logP: -1.0, SAScore: 5.0, MolWeight: 6.0
SMILES: C[S+]([O-])CCC(C(=O)NOS(=O)(=O)O)[C@@]1(S)O[C@H](CO)[C@@H](O)[C@H](O)[C@H]1O, logP: -2.0, SAScore: 7.0, MolWeight: 2.0
SMILES: C=CCCC(C)CCC, logP: 4.0, SAScore: 3.0, MolWeight: 2.0
SMILES: Cl, logP: 2.0, SAScore: 8.0, MolWeight: 8.0
SMILES: C=CCCCCCCC, logP: 5.0, SAScore: 2.0, MolWeight: 9.0
SMILES: C=C=C(C)C, logP: 3.0, SAScore: 3.0, MolWeight: 9.0
SMILES: C[S+]([O-])CCCCN=C=O, logP: 0.0, SAScore: 5.0, MolWeight: 3.0
SMILES: C=CCCCCCCCC, logP: 6.0, SAScore: 2.0, MolWeight: 8.0
SMILES: C=C(C)C=CC=C(C)C=CC=C(C)C=O, logP: 5.0, SAScore: 5.0, MolWeight: 7.0
SMILES: [In]#[Sn], logP: 0.0, SAScore: 9.0, MolWeight: 9.0
SMILES: C[S+]([O-])CCCCN=C=S, logP: 1.0, SAScore: 8.0, MolWeight: 6.0
SMILES: OCCO, logP: 0.0, SAScore: 3.0, MolWeight: 2.0
SMILES: C=C1CC/C=C(\C)CC[C@H](C2=CC[C@H](C(C)(C)O)OC2)C[C@H]1O, logP: 4.0, SAScore: 7.0, MolWeight: 1.0
SMILES: CC=C(Cl)Cl, logP: 3.0, SAScore: 3.0, MolWeight: 7.0
SMILES: C=CC(C)=CC, logP: 6.0, SAScore: 5.0, MolWeight: 9.0
SMILES: C=C(Cl)CCl, logP: 2.0, SAScore: 5.0, MolWeight: 9.0
SMILES: C[S+]([O-])CCCCN=C=S, logP: 1.0, SAScore: 9.0, MolWeight: 9.0
SMILES: CCCCCCCCCC, logP: 5.0, SAScore: 1.0, MolWeight: 2.0
SMILES: OCCO, logP: -1.0, SAScore: 3.0, MolWeight: 1.0
SMILES: C[S+]([O-])CCCCN=C=S, logP: 3.0, SAScore: 8.0, MolWeight: 1.0
SMILES: CC=CCCC=CC(C)C, logP: 6.0, SAScore: 6.0, MolWeight: 7.0
SMILES: C=CC#N, logP: 1.0, SAScore: 4.0, MolWeight: 5.0
SMILES: CCCCCC, logP: 3.0, SAScore: 1.0, MolWeight: 2.0
SMILES: C=C[Si](C)(C)Cl, logP: 3.0, SAScore: 7.0, MolWeight: 5.0
SMILES: C=CCBr, logP: 2.0, SAScore: 4.0, MolWeight: 3.0
SMILES: C[S+]([O-])CCCCN=C=O, logP: 1.0, SAScore: 6.0, MolWeight: 9.0
SMILES: CC=C(C)C=CC=C(C)C=CC=C(C)C=O, logP: 6.0, SAScore: 5.0, MolWeight: 8.0
SMILES: C=CB(C)O, logP: 0.0, SAScore: 8.0, MolWeight: 8.0
SMILES: CCCCCCCCCCCC, logP: 6.0, SAScore: 1.0, MolWeight: 7.0
SMILES: CC=C(Cl)Cl, logP: 3.0, SAScore: 4.0, MolWeight: 3.0
SMILES: C=CC=CCC=C, logP: 3.0, SAScore: 5.0, MolWeight: 6.0
SMILES: CCC(COC(C)CO)OBOC(C)C, logP: 0.0, SAScore: 8.0, MolWeight: 7.0
SMILES: C=CC(C)=CC=CC(C)C, logP: 5.0, SAScore: 7.0, MolWeight: 7.0
SMILES: C[S+]([O-])CCCCN=C=S, logP: 1.0, SAScore: 6.0, MolWeight: 9.0
SMILES: CCCCCCCC, logP: 4.0, SAScore: 1.0, MolWeight: 3.0
SMILES: C[S+]([O-])CCCCN=C=O, logP: -1.0, SAScore: 8.0, MolWeight: 5.0
SMILES: C=C[Si](C)O, logP: 1.0, SAScore: 7.0, MolWeight: 5.0
SMILES: C[PH](Cl)(Cl)Cl, logP: 4.0, SAScore: 9.0, MolWeight: 9.0
SMILES: CC=C(C)C=CC=C(C)C=CC(=O)O, logP: 6.0, SAScore: 8.0, MolWeight: 4.0
SMILES: C=CC(C)=CC, logP: 3.0, SAScore: 3.0, MolWeight: 7.0
SMILES: C[S+]([O-])CCCCN=C=S, logP: 1.0, SAScore: 8.0, MolWeight: 1.0
SMILES: C=CC(C)(O)C=CCCC=CC, logP: 5.0, SAScore: 7.0, MolWeight: 5.0
SMILES: C[As](C)(=O)O, logP: 1.0, SAScore: 9.0, MolWeight: 3.0
SMILES: C[As](C)(=O)O, logP: -1.0, SAScore: 9.0, MolWeight: 4.0
SMILES: C=CC(C)=CC=CC(C)=CC, logP: 5.0, SAScore: 5.0, MolWeight: 9.0
SMILES: CC(C)SSC(C)C, logP: 4.0, SAScore: 4.0, MolWeight: 2.0
SMILES: C=CCCCCCC, logP: 4.0, SAScore: 2.0, MolWeight: 2.0
SMILES: CCCCCCCCCCCC, logP: 6.0, SAScore: 1.0, MolWeight: 2.0
SMILES: C=C[Si](C)(C)O[Si](C)(C)C=C, logP: 3.0, SAScore: 8.0, MolWeight: 4.0
SMILES: C=C[C@@]1(C)CC[C@H](C2=CC[C@H](C(C)(C)O)OC2)C[C@@H]1C(=C)C, logP: 5.0, SAScore: 7.0, MolWeight: 9.0
SMILES: C=CB(C)O, logP: 0.0, SAScore: 7.0, MolWeight: 4.0
SMILES: CCC=C(C)CCC=C(C)C, logP: 6.0, SAScore: 3.0, MolWeight: 6.0
SMILES: C[S+]([O-])CCCCN=C=S, logP: 2.0, SAScore: 7.0, MolWeight: 1.0
SMILES: NC=O, logP: -1.0, SAScore: 5.0, MolWeight: 4.0
SMILES: C=CCC(CC)CCC, logP: 5.0, SAScore: 3.0, MolWeight: 2.0
SMILES: COB(OC)OC, logP: 1.0, SAScore: 9.0, MolWeight: 8.0
SMILES: ClP(Cl)Cl, logP: 2.0, SAScore: 9.0, MolWeight: 8.0
SMILES: O=[N+]([O-])C(CO)CO, logP: -2.0, SAScore: 4.0, MolWeight: 7.0
SMILES: NC=O, logP: -1.0, SAScore: 5.0, MolWeight: 8.0
SMILES: NC=O, logP: -2.0, SAScore: 5.0, MolWeight: 6.0
SMILES: C[Se]C#N, logP: 0.0, SAScore: 6.0, MolWeight: 1.0
SMILES: CCC(C)SS, logP: 4.0, SAScore: 4.0, MolWeight: 8.0
SMILES: O=CO, logP: 0.0, SAScore: 1.0, MolWeight: 7.0
SMILES: C=CC(C)(C=C)CC=CC, logP: 4.0, SAScore: 7.0, MolWeight: 1.0
SMILES: CC=C(C)C=CC=C(C)C=CC(=O)O, logP: 6.0, SAScore: 8.0, MolWeight: 8.0
SMILES: C=CC=CC=O, logP: 2.0, SAScore: 4.0, MolWeight: 7.0
SMILES: C=CCCC, logP: 3.0, SAScore: 2.0, MolWeight: 4.0
SMILES: C=C[C@]1(C)CC[C@@H](C(=C)C)C[C@H]1C(=C)C, logP: 5.0, SAScore: 8.0, MolWeight: 7.0
SMILES: CC(SN1C(=O)C2CC=CCC2C1=O)C(F)(F)F, logP: 3.0, SAScore: 7.0, MolWeight: 1.0
SMILES: CN(C)C=O, logP: 0.0, SAScore: 4.0, MolWeight: 3.0
SMILES: C=CCCC(C)C, logP: 4.0, SAScore: 3.0, MolWeight: 3.0
SMILES: C[S+]([O-])CCCCN=C=O, logP: 0.0, SAScore: 8.0, MolWeight: 2.0
SMILES: ClC=CCl, logP: 3.0, SAScore: 4.0, MolWeight: 4.0
SMILES: C[S+]([O-])CCCCN=C=S, logP: 3.0, SAScore: 9.0, MolWeight: 1.0
SMILES: CC#N, logP: 1.0, SAScore: 4.0, MolWeight: 5.0
SMILES: CB(O[Si](C)(C)C)O[Si](C)(C)C, logP: 3.0, SAScore: 9.0, MolWeight: 5.0
SMILES: C[S+]([O-])CCC(C(=O)NOS(=O)(=O)O)[C@@]1(S)O[C@H](CO)[C@@H](O)[C@H](O)[C@H]1O, logP: -2.0, SAScore: 9.0, MolWeight: 1.0
SMILES: NC(N)=O, logP: -2.0, SAScore: 1.0, MolWeight: 9.0
SMILES: c1ccccc1, logP: 1.0, SAScore: 1.0, MolWeight: 6.0
SMILES: C=CC=CCCCCCC, logP: 6.0, SAScore: 3.0, MolWeight: 3.0
SMILES: C=CCCC(C)CC, logP: 5.0, SAScore: 3.0, MolWeight: 4.0
SMILES: CCCSSCC, logP: 5.0, SAScore: 4.0, MolWeight: 8.0
SMILES: C=C[C@]1(C)CC[C@@H](C(=C)C)C[C@H]1C(=C)C, logP: 6.0, SAScore: 9.0, MolWeight: 6.0
SMILES: CC(C)=CCC=C(C)C, logP: 5.0, SAScore: 4.0, MolWeight: 1.0
SMILES: C=CCCCCCCCC, logP: 6.0, SAScore: 2.0, MolWeight: 4.0
SMILES: CCC(C)SSC(C)CC, logP: 6.0, SAScore: 4.0, MolWeight: 5.0
SMILES: NC=O, logP: 0.0, SAScore: 1.0, MolWeight: 5.0
SMILES: NC=O, logP: -1.0, SAScore: 4.0, MolWeight: 8.0
SMILES: NC(N)=O, logP: -1.0, SAScore: 1.0, MolWeight: 1.0
SMILES: OB(O)O, logP: -1.0, SAScore: 9.0, MolWeight: 9.0
SMILES: CCCCCCCCCC, logP: 5.0, SAScore: 1.0, MolWeight: 1.0
SMILES: C=CCCCCCCCC, logP: 6.0, SAScore: 2.0, MolWeight: 5.0
SMILES: NC(=O)O, logP: -2.0, SAScore: 1.0, MolWeight: 5.0
SMILES: NC(N)=O, logP: -2.0, SAScore: 1.0, MolWeight: 3.0
SMILES: NNC=O, logP: -2.0, SAScore: 4.0, MolWeight: 5.0
SMILES: C=CCCCC, logP: 3.0, SAScore: 2.0, MolWeight: 4.0
SMILES: C[As](C)(=O)O, logP: 2.0, SAScore: 7.0, MolWeight: 6.0
SMILES: CCCO, logP: 1.0, SAScore: 2.0, MolWeight: 8.0
SMILES: CC#N, logP: 1.0, SAScore: 3.0, MolWeight: 7.0
SMILES: C=CB(C)O[Si](C)(C)C=C, logP: 3.0, SAScore: 9.0, MolWeight: 3.0
SMILES: C#CCO, logP: 0.0, SAScore: 3.0, MolWeight: 6.0
SMILES: CC(O)CO, logP: -2.0, SAScore: 7.0, MolWeight: 2.0
SMILES: CN=C=S, logP: 2.0, SAScore: 6.0, MolWeight: 8.0
SMILES: C[As](C)(=O)O, logP: -2.0, SAScore: 7.0, MolWeight: 2.0
SMILES: C[As](=O)(O)O, logP: -2.0, SAScore: 9.0, MolWeight: 6.0
SMILES: C=CCCCCCCCC, logP: 6.0, SAScore: 2.0, MolWeight: 9.0
SMILES: C=CCCCC, logP: 3.0, SAScore: 2.0, MolWeight: 3.0
SMILES: ClC=CCl, logP: 3.0, SAScore: 6.0, MolWeight: 7.0
SMILES: NC(N)=O, logP: -1.0, SAScore: 1.0, MolWeight: 4.0
SMILES: CCCCP(=O)(S)CCCC, logP: 6.0, SAScore: 3.0, MolWeight: 9.0
SMILES: c1ccc2ccccc2c1, logP: 4.0, SAScore: 1.0, MolWeight: 3.0
SMILES: C=CC[C@H](C)CCC[C@H](C)CCCC(C)C, logP: 6.0, SAScore: 7.0, MolWeight: 4.0
SMILES: C[As](C)(=O)O, logP: -1.0, SAScore: 6.0, MolWeight: 7.0
SMILES: CCC(C)SSC(C)CC, logP: 5.0, SAScore: 5.0, MolWeight: 2.0
SMILES: C[S+]([O-])CCCCN=C=S, logP: 1.0, SAScore: 7.0, MolWeight: 8.0
SMILES: C=C(C)C=CC(=C)C, logP: 4.0, SAScore: 3.0, MolWeight: 6.0
SMILES: C=CCCCCC, logP: 3.0, SAScore: 2.0, MolWeight: 1.0
SMILES: C=CCCCCCC, logP: 5.0, SAScore: 2.0, MolWeight: 6.0
SMILES: C=CCCC(C)C=CCC=CC, logP: 5.0, SAScore: 6.0, MolWeight: 8.0
SMILES: c1ccncc1, logP: 1.0, SAScore: 1.0, MolWeight: 8.0
SMILES: C=C[Si](C)(C)Cl, logP: 3.0, SAScore: 8.0, MolWeight: 3.0
SMILES: CCCCC=CCCCCC, logP: 5.0, SAScore: 2.0, MolWeight: 5.0
SMILES: CCCCCCCCCC, logP: 5.0, SAScore: 1.0, MolWeight: 2.0
SMILES: C[S+]([O-])CCCCN=C=O, logP: 0.0, SAScore: 6.0, MolWeight: 7.0
SMILES: CI, logP: 2.0, SAScore: 8.0, MolWeight: 3.0
SMILES: C[As](C)(=O)O, logP: -1.0, SAScore: 9.0, MolWeight: 2.0
SMILES: NC=O, logP: -1.0, SAScore: 6.0, MolWeight: 8.0
SMILES: C=C[Si](C)(C)O, logP: 2.0, SAScore: 5.0, MolWeight: 2.0
SMILES: CC1=CCC2CC1C2(C)C, logP: 4.0, SAScore: 9.0, MolWeight: 6.0
SMILES: C=CCCCC=CC, logP: 4.0, SAScore: 7.0, MolWeight: 6.0
SMILES: C[S+]([O-])CCCCN=C=O, logP: 0.0, SAScore: 7.0, MolWeight: 2.0
SMILES: C=C[C@]1(C)CC[C@@H](C(=C)C)C[C@H]1C(=C)COC(=O)CCC, logP: 6.0, SAScore: 9.0, MolWeight: 1.0
SMILES: C=C1CC2C=CC1C2, logP: 3.0, SAScore: 9.0, MolWeight: 6.0
SMILES: NC(N)=O, logP: -1.0, SAScore: 1.0, MolWeight: 8.0
SMILES: CCC=CCCCCCCC, logP: 6.0, SAScore: 4.0, MolWeight: 4.0
SMILES: C=CC#N, logP: 1.0, SAScore: 4.0, MolWeight: 5.0
SMILES: C=C(C)[C@@H]1CCC(=C)[C@H](C(=C)C)C1, logP: 6.0, SAScore: 9.0, MolWeight: 1.0
SMILES: C=CO[Si](C)(C)C=C, logP: 2.0, SAScore: 7.0, MolWeight: 8.0
SMILES: C=CC#N, logP: 2.0, SAScore: 4.0, MolWeight: 1.0
SMILES: CCSSCC, logP: 4.0, SAScore: 4.0, MolWeight: 5.0
SMILES: C[S+]([O-])CCCCN=C=S, logP: 2.0, SAScore: 9.0, MolWeight: 6.0
SMILES: C=CCCCCCC, logP: 5.0, SAScore: 7.0, MolWeight: 2.0
SMILES: CC(N)=O, logP: 0.0, SAScore: 1.0, MolWeight: 7.0
SMILES: O=C1NC(CCO)C1O, logP: -1.0, SAScore: 4.0, MolWeight: 4.0
SMILES: ClC=CCl, logP: 5.0, SAScore: 8.0, MolWeight: 5.0
SMILES: C=C[C@]1(C)CC[C@@H](C(=C)C)C[C@H]1C(=C)C, logP: 5.0, SAScore: 7.0, MolWeight: 8.0
SMILES: C[As](C)(=O)O, logP: 1.0, SAScore: 6.0, MolWeight: 3.0
SMILES: CCCCCCCCCC, logP: 5.0, SAScore: 1.0, MolWeight: 8.0
SMILES: C=CC(C)(O)CCC=C(C)C, logP: 4.0, SAScore: 5.0, MolWeight: 7.0
SMILES: C[As](C)(=O)O, logP: 0.0, SAScore: 8.0, MolWeight: 5.0
SMILES: CCO, logP: 0.0, SAScore: 2.0, MolWeight: 4.0
SMILES: C[S+]([O-])CCCCN=C=[Se], logP: 0.0, SAScore: 8.0, MolWeight: 4.0
SMILES: C=O, logP: 0.0, SAScore: 5.0, MolWeight: 9.0
SMILES: C=CCC, logP: 2.0, SAScore: 3.0, MolWeight: 9.0
SMILES: CCCCl, logP: 2.0, SAScore: 2.0, MolWeight: 6.0
SMILES: C=CB(C)O, logP: 1.0, SAScore: 9.0, MolWeight: 4.0
SMILES: C[S+]([O-])CCCCN=C=S, logP: 2.0, SAScore: 6.0, MolWeight: 3.0
SMILES: N#CCCC#N, logP: 1.0, SAScore: 3.0, MolWeight: 3.0
SMILES: C=CC(C)=CC, logP: 3.0, SAScore: 4.0, MolWeight: 5.0
SMILES: C=CC(C)=CC, logP: 4.0, SAScore: 6.0, MolWeight: 9.0
SMILES: C[S+]([O-])CCCCN=C=[Se], logP: 0.0, SAScore: 8.0, MolWeight: 1.0
SMILES: CC=CC=CC=CC=O, logP: 3.0, SAScore: 6.0, MolWeight: 5.0
SMILES: CCCCCCCC, logP: 4.0, SAScore: 1.0, MolWeight: 3.0
SMILES: C=CC(C)=CCCC(C)C, logP: 6.0, SAScore: 7.0, MolWeight: 6.0
SMILES: CC=C(C)C, logP: 2.0, SAScore: 3.0, MolWeight: 9.0
SMILES: C=C1CC2C=CC1C2, logP: 3.0, SAScore: 8.0, MolWeight: 9.0
SMILES: C=CC=CCCCCCC, logP: 6.0, SAScore: 4.0, MolWeight: 2.0
SMILES: CCSCC, logP: 3.0, SAScore: 4.0, MolWeight: 4.0
SMILES: CC=C(C)C=CC=C(C)C=CC(=O)O, logP: 5.0, SAScore: 9.0, MolWeight: 8.0
SMILES: C[S+]([O-])CCCCN=C=S, logP: 1.0, SAScore: 6.0, MolWeight: 6.0
SMILES: CC=CCC=CC(C)C=CC(=O)O, logP: 4.0, SAScore: 9.0, MolWeight: 6.0
SMILES: C[As](=O)(O)O, logP: -2.0, SAScore: 8.0, MolWeight: 1.0
SMILES: CCCCCCCCCCCC, logP: 6.0, SAScore: 1.0, MolWeight: 1.0
SMILES: C#C[C@]12C=C(C#N)C(=O)C=C1[C@@]1(C)C=C(C#N)C(=O)C(C)(C)[C@@H]1CC2, logP: 2.0, SAScore: 7.0, MolWeight: 1.0
SMILES: CC=C(Cl)CCl, logP: 4.0, SAScore: 7.0, MolWeight: 7.0
SMILES: C1=NN=[Si]N1, logP: 0.0, SAScore: 9.0, MolWeight: 8.0
SMILES: C=CCl, logP: 2.0, SAScore: 5.0, MolWeight: 9.0
SMILES: CC(C)=CCCC(C)C, logP: 6.0, SAScore: 6.0, MolWeight: 2.0
SMILES: CCCC, logP: 2.0, SAScore: 2.0, MolWeight: 7.0
SMILES: C=CCCCCCCCC, logP: 6.0, SAScore: 2.0, MolWeight: 4.0
SMILES: C=C(C)[C@H]1C[C@@H](C2=CC[C@H](C(C)(C)O)OC2)CCC1C, logP: 4.0, SAScore: 7.0, MolWeight: 3.0
SMILES: CC=CCC=CCC=CC(C)C, logP: 6.0, SAScore: 7.0, MolWeight: 8.0
SMILES: CC1=CCC2CC1C2(C)C, logP: 4.0, SAScore: 9.0, MolWeight: 4.0
SMILES: C=CCCCC=CC, logP: 4.0, SAScore: 8.0, MolWeight: 5.0
SMILES: NC=O, logP: -1.0, SAScore: 2.0, MolWeight: 6.0
SMILES: CCc1ccccc1, logP: 2.0, SAScore: 1.0, MolWeight: 7.0
SMILES: C=CB(C)O[Si](C)(C=C)OC, logP: 2.0, SAScore: 9.0, MolWeight: 5.0
SMILES: OB(O)O, logP: -2.0, SAScore: 9.0, MolWeight: 8.0
SMILES: C=CC(=C)C, logP: 4.0, SAScore: 4.0, MolWeight: 5.0
SMILES: CC(C)(C)S, logP: 2.0, SAScore: 3.0, MolWeight: 6.0
SMILES: CC(Cl)CCl, logP: 4.0, SAScore: 7.0, MolWeight: 6.0
SMILES: C[As](C)(=O)O, logP: -1.0, SAScore: 7.0, MolWeight: 3.0
SMILES: CCCSSCCC, logP: 5.0, SAScore: 4.0, MolWeight: 7.0
SMILES: C=CCCCCC, logP: 4.0, SAScore: 2.0, MolWeight: 7.0
SMILES: NC=O, logP: -1.0, SAScore: 5.0, MolWeight: 6.0
SMILES: CC=CCCCC=CC(=O)OC, logP: 5.0, SAScore: 8.0, MolWeight: 5.0
SMILES: CCCCCCCCCCCC, logP: 6.0, SAScore: 1.0, MolWeight: 6.0
SMILES: COC=O, logP: 0.0, SAScore: 1.0, MolWeight: 6.0
SMILES: C=CC=CC, logP: 2.0, SAScore: 3.0, MolWeight: 3.0
SMILES: C=CC#N, logP: 1.0, SAScore: 5.0, MolWeight: 8.0
SMILES: CCCCC=CCCCCC, logP: 5.0, SAScore: 2.0, MolWeight: 7.0
SMILES: C[As](C)(=O)O, logP: 0.0, SAScore: 7.0, MolWeight: 4.0
SMILES: CCCC, logP: 2.0, SAScore: 2.0, MolWeight: 1.0
SMILES: C[S+]([O-])CCC(O)C(=O)NO[SeH], logP: -2.0, SAScore: 7.0, MolWeight: 7.0
SMILES: NC=O, logP: -1.0, SAScore: 5.0, MolWeight: 4.0
SMILES: NC=O, logP: -1.0, SAScore: 1.0, MolWeight: 4.0
SMILES: [NH+]#[As], logP: -1.0, SAScore: 8.0, MolWeight: 8.0
SMILES: O=S1CCO1, logP: 1.0, SAScore: 5.0, MolWeight: 3.0
SMILES: CC(C)=CC=CC(C)=CC=CC(C)C, logP: 6.0, SAScore: 5.0, MolWeight: 3.0
SMILES: C[As](C)(=O)O, logP: -1.0, SAScore: 8.0, MolWeight: 5.0
SMILES: C=C1CC2CC3CCC(C)(C3)C1C2, logP: 4.0, SAScore: 7.0, MolWeight: 8.0
SMILES: ClC(Cl)Cl, logP: 3.0, SAScore: 3.0, MolWeight: 1.0
SMILES: OCC1NCC(O)C(O)C1O, logP: -2.0, SAScore: 5.0, MolWeight: 4.0
SMILES: C[S+]([O-])CCC(N)C(=O)O, logP: -1.0, SAScore: 7.0, MolWeight: 4.0
SMILES: C[S+]([O-])CCCCN=C=O, logP: 0.0, SAScore: 6.0, MolWeight: 2.0
SMILES: C=CC(C)=CCCC(C)C, logP: 6.0, SAScore: 7.0, MolWeight: 3.0
SMILES: C=CC=CCCCC, logP: 4.0, SAScore: 3.0, MolWeight: 4.0
SMILES: CCCCCC, logP: 3.0, SAScore: 1.0, MolWeight: 5.0
SMILES: CC(N)=O, logP: 0.0, SAScore: 2.0, MolWeight: 9.0
SMILES: NC=O, logP: -1.0, SAScore: 2.0, MolWeight: 9.0
SMILES: COB(OC)OC, logP: 1.0, SAScore: 9.0, MolWeight: 9.0
SMILES: C[S+]([O-])CCC(O)C(=O)NOS(=O)(=O)O, logP: -2.0, SAScore: 7.0, MolWeight: 3.0
SMILES: C=CCCC=CC, logP: 4.0, SAScore: 6.0, MolWeight: 8.0
SMILES: C=CC=CC#N, logP: 2.0, SAScore: 5.0, MolWeight: 6.0
SMILES: CO, logP: 0.0, SAScore: 4.0, MolWeight: 9.0
SMILES: NC(=O)C=O, logP: -1.0, SAScore: 3.0, MolWeight: 3.0
SMILES: C=CC(C)=CC=CC(C)C, logP: 5.0, SAScore: 5.0, MolWeight: 3.0
SMILES: CO, logP: 0.0, SAScore: 3.0, MolWeight: 7.0
SMILES: C[As](C)(=O)O, logP: -1.0, SAScore: 7.0, MolWeight: 4.0
SMILES: C[S+]([O-])CCCCN=C=O, logP: 1.0, SAScore: 8.0, MolWeight: 1.0
SMILES: CCC(C)SSC(C)C, logP: 5.0, SAScore: 4.0, MolWeight: 9.0
SMILES: COP(C)(C)=O, logP: 2.0, SAScore: 6.0, MolWeight: 2.0
SMILES: C[S+]([O-])CCC(C(=O)NOS(=O)(=O)O)[C@@]1(S)O[C@H](CO)[C@@H](O)[C@H](O)[C@H]1O, logP: -2.0, SAScore: 8.0, MolWeight: 3.0
SMILES: c1ccccc1, logP: 2.0, SAScore: 1.0, MolWeight: 4.0
SMILES: CO[As](=O)OC, logP: -1.0, SAScore: 8.0, MolWeight: 7.0
SMILES: ClC=CCCl, logP: 2.0, SAScore: 3.0, MolWeight: 3.0
SMILES: C=C[Cr](C)(C)O, logP: 0.0, SAScore: 8.0, MolWeight: 5.0
SMILES: C=CCO, logP: 1.0, SAScore: 3.0, MolWeight: 3.0
SMILES: C[As](C)(=O)O, logP: -1.0, SAScore: 6.0, MolWeight: 7.0
SMILES: C=CCCCCC, logP: 4.0, SAScore: 2.0, MolWeight: 5.0
SMILES: OCC(O)CO, logP: -1.0, SAScore: 4.0, MolWeight: 5.0
SMILES: C=C1CC2C=CC1C2, logP: 3.0, SAScore: 6.0, MolWeight: 5.0
SMILES: C=CCCCCCCC, logP: 5.0, SAScore: 2.0, MolWeight: 8.0
SMILES: ClC=CCl, logP: 4.0, SAScore: 7.0, MolWeight: 3.0
SMILES: ClC=CCl, logP: 4.0, SAScore: 7.0, MolWeight: 3.0
SMILES: C=CCl, logP: 2.0, SAScore: 3.0, MolWeight: 8.0
SMILES: C[S+]([O-])CCCCN=C=O, logP: 0.0, SAScore: 6.0, MolWeight: 5.0
SMILES: CCO, logP: 0.0, SAScore: 2.0, MolWeight: 4.0
