SMILES: C/C=C(\C)C(=O)O[C@@H]1C2=CC(OC)=C(OC)C(=O)C23COc2c4c(cc(c23)[C@@H](OC(=O)c2ccccc2)[C@H](C)[C@]1(C)O)OCO4, logP: 5.0, SAScore: 8.0, MolWeight: N/A
SMILES: C/C=C(\C)C(=O)O[C@@H]1c2cc3c(c4c2C2(CO4)C(=O)C(OC)=C(OC)C=C2[C@@H](OC(=O)c2ccccc2)[C@@](C)(O)[C@H]1C)OCO3, logP: 3.0, SAScore: 6.0, MolWeight: N/A
SMILES: Cc1cc(C(C)(C)C)c(O)c(C(C)(C)C)c1, logP: 6.0, SAScore: 2.0, MolWeight: N/A
SMILES: Cc1cc([CH]O[C@@H]2O[C@H](CO)[C@@H](O)[C@H](O)[C@H]2O)cc(C)c1O, logP: -1.0, SAScore: 1.0, MolWeight: N/A
SMILES: Cc1cc(C)c(OC(=O)c2cc(C)ccc2O)c(C)c1, logP: 4.0, SAScore: 2.0, MolWeight: N/A
SMILES: Cc1cc(C)c([Se]C[C@H]2O[C@@H](n3cc(C)c(=O)[nH]c3=O)C[C@@H]2N=[N+]=[N-])c(C)c1, logP: 3.0, SAScore: 4.0, MolWeight: N/A
SMILES: C=C1CC[C@@H]2[C@](C)(CO)[C@H](O)CC[C@@]2(C)[C@@H]1CCC1C(=O)OC[C@H]1O, logP: 2.0, SAScore: 6.0, MolWeight: N/A
SMILES: C[C@H](NC(=O)[C@@H]1CCCN1C(=O)[C@H](CCCNC(=N)N)NC(=O)[C@H](CC(N)=O)NC(=O)[C@@H]1Cc2c([nH]c3ccccc23)[C@@H](c2ccccc2O)N1)C(=O)N[C@@H](CCCCN)C(=O)O, logP: -2.0, SAScore: 7.0, MolWeight: N/A
SMILES: COC(=O)[C@@H](Cc1ccccc1)NC(=O)C(=O)O, logP: -2.0, SAScore: 2.0, MolWeight: N/A
SMILES: Cc1ccc(C(C)C)cc1, logP: 4.0, SAScore: 1.0, MolWeight: N/A
SMILES: COC1C=COC2(C)Oc3c(C)c(O)c4c(O)c(c5c(c4c3C2=O)NC2(CCN(CC(C)C)CC2)N=5)=NC(=O)C(C)=CC=CC(C)C(O)C(C)C(O)C(C)C(OC(C)=O)C1C, logP: 4.0, SAScore: 8.0, MolWeight: N/A
SMILES: CC1=CCC[C@H]2[C@](C)(Cc3cc(C)c(O)c(C)c3O)[C@@H](C)CC[C@]12C, logP: 6.0, SAScore: 4.0, MolWeight: N/A
SMILES: C[C@H](O)C(=O)Nc1ccccc1, logP: 1.0, SAScore: 1.0, MolWeight: N/A
SMILES: CO[C@H](c1ccc(O)c(O)c1)[C@H](O)Cc1cc(O)c(O)c(O)c1, logP: 2.0, SAScore: 4.0, MolWeight: N/A
SMILES: CC(C)C[C@@H]1NC(=O)[C@H](CCCCN)NC1=O, logP: 0.0, SAScore: 3.0, MolWeight: N/A
SMILES: CCCS(=O)(=O)O/N=C(\N)c1cc(C)ccc1O, logP: 1.0, SAScore: 3.0, MolWeight: N/A
SMILES: C[C@@H]([C@H]1O[C@@H](C)[C@H](O)[C@@H](O)[C@H]1O)[C@H](C)O, logP: -1.0, SAScore: 1.0, MolWeight: N/A
SMILES: CC(=O)C(C)CCC[C@@H](C)[C@H]1CC[C@H]2[C@@H]3C[C@@H](O)[C@@]4(O)C[C@@H](O)CC[C@]4(C)[C@H]3CC[C@]12C, logP: 6.0, SAScore: 8.0, MolWeight: N/A
SMILES: O=C(O[C@@H]1O[C@@H]2COC(=O)c3cc(O)c(O)c(O)c3-c3c(cc(O)c(O)c3O)C(=O)O[C@H]2[C@@H]2OC(=O)c3cc(O)c(O)c(O)c3-c3c(cc(O)c(O)c3O)C(=O)O[C@@H]12)c1cc(O)c(O)c(O)c1, logP: 2.0, SAScore: 9.0, MolWeight: N/A
SMILES: CC(=O)CCc1ccc(O)cc1, logP: 2.0, SAScore: 1.0, MolWeight: N/A
SMILES: COc1cc(C)cc(O[C@@H]2O[C@@H](C)[C@H](OC(C)=O)[C@@H](O)[C@H]2O)c1C(=O)OCc1ccccc1O[C@@H]1O[C@H](CO)[C@@H](O)[C@H](O)[C@H]1O, logP: -1.0, SAScore: 5.0, MolWeight: N/A
SMILES: COc1cc2c(cc1OC)C(CCCCN(C)Cc1ccccc1)OC2=O, logP: 4.0, SAScore: 3.0, MolWeight: N/A
SMILES: CC[C@@H](C)[C@@]12OC(=O)[C@@]3(O)C[C@@H](O1)c1c(cc(O)c(C)c1O)[C@@]23C, logP: 2.0, SAScore: 8.0, MolWeight: N/A
SMILES: Cc1cc(C(C)(C)C)c(O)c(C(C)(C)C)c1, logP: 5.0, SAScore: 2.0, MolWeight: N/A
SMILES: Cc1c(C)c2c(c(C)c1O)CCC(C)(C(=O)O)O2, logP: 3.0, SAScore: 3.0, MolWeight: N/A
SMILES: CC(C)=CCc1c(O[C@@H]2O[C@H](CO)[C@@H](O)[C@H](O)[C@H]2O)cc(O)c2c1O[C@H](c1ccc(O)cc1)[C@@H](O)C2=O, logP: 0.0, SAScore: 5.0, MolWeight: N/A
SMILES: Cc1cc(C(C)(C)C)c(O)c(C(C)(C)C)c1, logP: 6.0, SAScore: 2.0, MolWeight: N/A
SMILES: C=CC(C)(C)c1[nH]c2c(C[C@@H](O)C(C)(C)Cl)cccc2c1/C=C1\NC(=O)[C@H](C)NC1=O, logP: 5.0, SAScore: 5.0, MolWeight: N/A
SMILES: CCN1C[C@]2(C)CC[C@H](OC)[C@]34C1[C@H]([C@@H](O)[C@H]23)[C@@]1(O)CC[C@H]2C[C@@H]4[C@@H]1C(=O)O2, logP: 1.0, SAScore: 8.0, MolWeight: N/A
SMILES: COC(=O)[C@H](CS)NC(=O)Cc1cc(C)c(O)c(C)c1C, logP: 0.0, SAScore: 3.0, MolWeight: N/A
SMILES: CC(C)=CCc1cc(CC(C)O)cc(O)c1O, logP: 3.0, SAScore: 3.0, MolWeight: N/A
SMILES: C=C(C)C(O)CCc1c(O)cc(O)c2c1O[C@H](c1cc3c(cc1O)OC(C)(C)C=C3)CC2=O, logP: 2.0, SAScore: 5.0, MolWeight: N/A
SMILES: C=C[C@H]1[C@H](O[C@@H]2O[C@H](CO)[C@@H](O)[C@H](O)[C@H]2O)OC=C(C(=O)OC)[C@H]1C[C@@H]1NCCc2c1[nH]c1ccccc21, logP: 1.0, SAScore: 9.0, MolWeight: N/A
SMILES: Cc1ccc(C(C)C)c(C)c1, logP: 5.0, SAScore: 1.0, MolWeight: N/A
SMILES: COC(=O)[C@@H](Cc1cnc[nH]1)NC(=O)[C@@H](N)Cc1cc(C)c(O)c(C)c1, logP: -1.0, SAScore: 3.0, MolWeight: N/A
SMILES: CC1=CC[C@H]2[C@@H]3CC1=CC(=O)[C@@]2(C)C[C@@H](O)[C@@]3(C)O, logP: 3.0, SAScore: 8.0, MolWeight: N/A
SMILES: CCCC1(CC)OC(=O)[C@]2(C[C@@H](O)[C@H](OC(=O)/C=C/c3ccc(O)c(O)c3)C2)O1, logP: 6.0, SAScore: 6.0, MolWeight: N/A
SMILES: CCC(C)C(C)CC(O)(CO)C(=O)O[C@@H]1CC[C@H](C)[C@@]2(C)C=C([C@H](C)CO)C(=O)C=C12, logP: 6.0, SAScore: 9.0, MolWeight: N/A
SMILES: C=CC1=CO[C@@H]1C=C(C)C, logP: 3.0, SAScore: 1.0, MolWeight: N/A
SMILES: C=CC(C)(O)CC(O)[C@]1(C)C2=C([C@H](OC(C)=O)C[C@@H]1C)[C@@](C)(COC(C)=O)C(=O)CC2, logP: 3.0, SAScore: 7.0, MolWeight: N/A
SMILES: COc1c(O)c(CN2CCCCCC2)c2oc3c(CN4CCOCC4)c(O)c(CC=C(C)C)c(O)c3c(=O)c2c1CC=C(C)C, logP: 6.0, SAScore: 8.0, MolWeight: N/A
SMILES: CCC(C)C(=O)C1=C(O)[C@@](C)(CC=C(C)C)C(=O)[C@@]2(C[C@H]3[C@H](CC[C@@]3(C)O)[C@](C)(O)C2)C1=O, logP: 6.0, SAScore: 8.0, MolWeight: N/A
SMILES: Cc1c(C)c2c(c(C)c1O)CCC(C)(C(=O)NS(=O)(=O)O)O2, logP: 2.0, SAScore: 4.0, MolWeight: N/A
SMILES: CO[C@]12C[C@H](O)[C@@H]3[C@@H](CCC4=CC(=O)CC[C@@]43C)[C@@H]1CC[C@]2(O)C(=O)CO, logP: 1.0, SAScore: 6.0, MolWeight: N/A
SMILES: C=CC(C)(CC/C=C(\C)CC/C=C(\C)[C@H](O)[C@@H](O)[C@@H](O)C=C(C)C)Oc1ccc(O)cc1CC(=O)OC, logP: 6.0, SAScore: 5.0, MolWeight: N/A
SMILES: CO[C@@H]1[C@@H]2C(=O)OC(C)(C)O[C@@H]2C[C@H]2O[C@]2(OC)[C@H]1O, logP: 0.0, SAScore: 8.0, MolWeight: N/A
SMILES: CCCCCCCCCCCCCC, logP: 6.0, SAScore: 1.0, MolWeight: N/A
SMILES: Cc1c(C)c2c(c(C)c1O)CCC(C)(C(=O)NCC1CC(C)(C)N([O])C1(C)C)O2, logP: 3.0, SAScore: 4.0, MolWeight: N/A
SMILES: CC(C)c1cc2c(c(O)c1O)[C@@]13CCCC(C)(C)[C@@H]1[C@H](OC3=O)[C@@H]2O, logP: 3.0, SAScore: 5.0, MolWeight: N/A
SMILES: C=C[C@H]1[C@@H](O[C@@H]2O[C@H](CO)[C@@H](O)[C@H](O)[C@H]2O)OC=C2C(=O)O[C@H](/C(=C(/O)C(=O)O)c3ccccc3)C[C@@H]21, logP: 0.0, SAScore: 8.0, MolWeight: N/A
SMILES: C/C=C(\C)C(=O)O[C@@H]1c2cc3c(c4c2C2(CO4)C(=O)C(OC)=C(OC)C=C2[C@@H](OC(=O)c2ccccc2)[C@@](C)(O)[C@H]1C)OCO3, logP: 5.0, SAScore: 7.0, MolWeight: N/A
SMILES: C=C[C@H]1[C@H](O[C@@H]2O[C@H](CO)[C@@H](O)[C@H](O)[C@H]2O)OC=C2C(=O)O[C@H](/C(=C(/O)C(=O)O)c3ccccc3)C[C@@H]21, logP: 1.0, SAScore: 6.0, MolWeight: N/A
SMILES: Cc1ccc(C(C)C)cc1, logP: 4.0, SAScore: 1.0, MolWeight: N/A
SMILES: COC[C@]12CN(C)C3[C@@H]4[C@H](OC)[C@H]1[C@@]3([C@@H](OC)C[C@H]2O)[C@]1(O)C[C@@]2(O)[C@H](OC(=O)c3ccccc3)[C@@H]1[C@]4(OC)[C@@H](O)[C@@H]2OC, logP: -1.0, SAScore: 8.0, MolWeight: N/A
SMILES: CCN1C[C@]2(C)CC[C@H](OC)[C@]34C1[C@H]([C@@H](O)[C@H]23)[C@@]1(O)CC[C@H]2C[C@@H]4[C@@H]1C(=O)O2, logP: 1.0, SAScore: 7.0, MolWeight: N/A
SMILES: CCC1CC2CN3CCc4c([nH]c5cc(OC)ccc45)C(C(=O)OC)(C2)C13, logP: 4.0, SAScore: 9.0, MolWeight: N/A
SMILES: CCOC(=O)C(CS)NC(=O)C1(C)CCc2c(C)c(O)c(C)c(C)c2O1, logP: 3.0, SAScore: 3.0, MolWeight: N/A
SMILES: C[C@@H](O[Si](C)(C)C(C)(C)C)[C@H]1C(=O)N2/C(=N/C3CCCCC3)[Se]/C(=C/I)C[C@H]12, logP: 5.0, SAScore: 7.0, MolWeight: N/A
SMILES: CCN1C[C@]2(C)CC[C@H](OC)[C@]34C1[C@H]([C@@H](O)[C@H]23)[C@@]1(O)CC[C@H]2C[C@@H]4[C@@H]1C(=O)O2, logP: 1.0, SAScore: 9.0, MolWeight: N/A
SMILES: C[C@H](NC(=O)[C@@H]1CCCN1C(=O)[C@H](CCCNC(=N)N)NC(=O)[C@H](CC(N)=O)NC(=O)[C@@H]1Cc2c([nH]c3ccccc23)[C@@H](c2ccccc2O)N1)C(=O)N[C@@H](CCCCN)C(=O)O, logP: -1.0, SAScore: 9.0, MolWeight: N/A
SMILES: CCC(C)CC(C)CC(O)(CO)C(=O)O[C@@H]1CC[C@H](C)[C@@]2(C)C=C([C@H](C)CO)C(=O)C=C12, logP: 5.0, SAScore: 5.0, MolWeight: N/A
SMILES: COC(=O)[C@]12CCC(C)(C)C[C@H]1[C@H]1C(=O)C=C3[C@@]4(C)C=C(C#N)C(=O)C(C)(C)[C@@H]4CC[C@@]3(C)[C@]1(C)CC2, logP: 5.0, SAScore: 6.0, MolWeight: N/A
SMILES: Cc1cc2c(O)c3c(c(O)c2o1)[C@@]1(C)CCCC(C)(C)C1=C(O)C3=O, logP: 4.0, SAScore: 4.0, MolWeight: N/A
SMILES: Cc1cc(C(C)(C)C)c(O)c(C(C)(C)C)c1, logP: 4.0, SAScore: 2.0, MolWeight: N/A
SMILES: CCCCCCCCCCCCc1ccccc1, logP: 6.0, SAScore: 1.0, MolWeight: N/A
SMILES: O=C(O[C@@H]1[C@@H](O)[C@H](Oc2cc(O)c(C(=O)CCc3ccccc3)c(O)c2)O[C@@H]2COC(=O)c3cc(O)c(O)c(O)c3-c3c(cc(O)c(O)c3O)C(=O)O[C@@H]12)c1cc(O)c(O)c(O)c1, logP: 3.0, SAScore: 8.0, MolWeight: N/A
SMILES: CC[C@H](C)[C@H](NC(=O)[C@@H](NC(=O)[C@@H](NC(=O)CNC(=O)CNC(=O)[C@@H](NC(=O)C1(C)CCc2c(C)c(O)c(C)c(C)c2O1)C(C)C)C(C)C)C(C)C)C(=O)N[C@@H](C)C(=O)O, logP: 0.0, SAScore: 7.0, MolWeight: N/A
SMILES: CCCCCNCc1c(O)c(CC=C(C)C)c(O)c2c(=O)c3c(CC=C(C)C)c(OC)c(O)cc3oc12, logP: 6.0, SAScore: 3.0, MolWeight: N/A
SMILES: O=C(/C=C/c1ccc(O)c(O)c1)O[C@@H]1C[C@](O)(C(=O)O)C[C@@H](OC(=O)/C=C/c2ccc(O)c(O)c2)[C@H]1O, logP: 2.0, SAScore: 7.0, MolWeight: N/A
SMILES: CCOC(=O)C(Cc1ccccc1)NC(=O)CN(CCN(CC(=O)O)CC(=O)NC(Cc1ccccc1)C(=O)OC)CC(=O)O, logP: -1.0, SAScore: 5.0, MolWeight: N/A
SMILES: CCCCC(CC)COC(=O)c1ccc(N=Cc2ccc(O)c(OC)c2)c(O)c1, logP: 5.0, SAScore: 3.0, MolWeight: N/A
SMILES: CCN1C[C@]2(C)CC[C@H](OC)[C@]34C1[C@@](C)([C@@H](OC)[C@H]23)[C@@]1(O)CC[C@H]2C[C@@H]4C1(O)C(=O)O2, logP: 1.0, SAScore: 9.0, MolWeight: N/A
SMILES: O=C(O[C@@H]1[C@@H](O)[C@H](Oc2cc(O)c3c(c2)OC(c2ccc(O)c(O)c2)CC3=O)O[C@H](CO)[C@@H](O)[C@@H]1O)c1cc(O)c(O)c(O)c1, logP: 2.0, SAScore: 9.0, MolWeight: N/A
SMILES: CC1=C(S(=O)(=O)N(C)C(=O)N(C)c2ccccc2)C(c2ccc(O)c(C(C)C)c2)CC(=O)N1, logP: -2.0, SAScore: 4.0, MolWeight: N/A
SMILES: COc1cc2oc(-c3ccc(O)c(O)c3)cc(=O)c2c(O)c1O[C@@H]1O[C@H](CO)[C@@H](O)[C@H](O)[C@H]1O, logP: -1.0, SAScore: 5.0, MolWeight: N/A
SMILES: C[C@H](NC(=O)[C@@H]1CCCN1C(=O)[C@H](CCCNC(=N)N)NC(=O)[C@H](CC(N)=O)NC(=O)[C@@H]1Cc2c([nH]c3ccccc23)[C@@H](c2ccccc2O)N1)C(=O)N[C@@H](CCCCN)C(=O)O, logP: -2.0, SAScore: 5.0, MolWeight: N/A
SMILES: C[C@@H]1O[C@@H](O[C@@H]2[C@@H](O)[C@H](OCCc3ccc(O)c(O)c3)O[C@H](COC(=O)CC3(O)CCC(=O)CC3)[C@H]2OC(=O)/C=C/c2ccc(O)c(O)c2)[C@H](O)[C@H](O)[C@H]1O, logP: 0.0, SAScore: 6.0, MolWeight: N/A
SMILES: Cc1c(C)c2c(c(C)c1O)CCC(C)(C(=O)NCCNC(=O)CCCCC(S)CCS)O2, logP: 4.0, SAScore: 4.0, MolWeight: N/A
SMILES: C[C@H](C1=CC[C@H](O)[C@H](O)C1)[C@@H](C)O, logP: 0.0, SAScore: 1.0, MolWeight: N/A
SMILES: COC(=O)C(C)NP1(=S)Oc2ccccc2CN1c1ccc(N2Cc3ccccc3OP2(=S)NC(C)C(=O)OC)cc1, logP: 4.0, SAScore: 7.0, MolWeight: N/A
SMILES: COC(=O)[C@H](CS)NC(=O)C1(C)CCc2c(C)c(O)c(C)c(C)c2O1, logP: 2.0, SAScore: 4.0, MolWeight: N/A
SMILES: Cc1cc(C)c(O)c(C)c1C, logP: 3.0, SAScore: 2.0, MolWeight: N/A
SMILES: CC(C)c1cc2c(c(O)c1O)[C@@]13CCCC(C)(C)[C@@H]1[C@H](OC3=O)[C@H]2O, logP: 5.0, SAScore: 8.0, MolWeight: N/A
SMILES: CC[C@@H](C)[C@]12OC(=O)[C@]3(O)C[C@H](O1)c1c(cc(O)c(C)c1O)[C@]23C, logP: 3.0, SAScore: 7.0, MolWeight: N/A
SMILES: CCOC(=O)C(CSC(SCC(=O)OC)C(=O)OC)NC(=O)COC(C)=O, logP: 0.0, SAScore: 4.0, MolWeight: N/A
SMILES: CCOC(=O)[C@@H]1CC(=O)c2sccc2[C@H]1c1cc(C)cc(OC)c1, logP: 4.0, SAScore: 3.0, MolWeight: N/A
SMILES: CC(C)c1cc(C2=[N+]([O-])C(C)(C)C(C)(C)N2[O])cc(C[C@@H](O)CO)c1O, logP: 3.0, SAScore: 4.0, MolWeight: N/A
SMILES: O=C(/C=C/c1ccc(O)c(O)c1)O[C@H]1[C@H]2C=CO[C@@H](O[C@H]3O[C@@H](CO)[C@H](O)[C@@H](O)[C@@H]3O)[C@@H]2[C@](O)(CO)[C@@H]1Cl, logP: 3.0, SAScore: 9.0, MolWeight: N/A
SMILES: COC(=O)[C@]12C[C@@H](O)[C@H](O)[C@@H]1[C@@]1(C)CC[C@H]2C[C@@]1(C)CC1=CC(=O)OC[C@H]1O, logP: 1.0, SAScore: 4.0, MolWeight: N/A
SMILES: CC=CCC(C)C(O)C1C(=O)NC(CC)C(=O)N(C(C)C)CC(=O)N(C)C(C(C)C)C(=O)NC(C)C(=O)NC(CC(C)C)C(=O)NC(C(C)C)C(=O)NC(C)C(=O)N(C)C(CC(C)C)C(=O)N(C)C(C)C(=O)N(C)C(CC(C)C)C(=O)N(C)C(C(C)C)C(=O)N1C, logP: 3.0, SAScore: 9.0, MolWeight: N/A
SMILES: C=C[C@H]1[C@H](O[C@@H]2O[C@H](CO)[C@@H](O)[C@H](O)[C@H]2O)OC=C(C(=O)[O-])[C@H]1/C=C/c1cc(C(=O)[O-])c[n+](CCCC(=O)O)c1, logP: -2.0, SAScore: 9.0, MolWeight: N/A
SMILES: OC[C@@H](O)[CH]O[C@@H]1O[C@H](CO)[C@@H](O)[C@H](O)[C@H]1O, logP: -2.0, SAScore: 1.0, MolWeight: N/A
SMILES: C[C@H](O)C(=O)Nc1ccccc1, logP: 1.0, SAScore: 1.0, MolWeight: N/A
SMILES: CC(C)=CCC/C(C)=C/CC/C(C)=C/Cc1cc(O)cc(C)c1O, logP: 6.0, SAScore: 3.0, MolWeight: N/A
SMILES: C/C(=C/CC/C(C)=C/CC/C(C)=C/C(=O)C/C(C)=C/Cc1cc(O)cc(C)c1O)CO, logP: 6.0, SAScore: 3.0, MolWeight: N/A
SMILES: CCC(C)C1CCC(C(=O)N2CCc3ccccc3C2CN2C(=O)c3ccccc3C2=O)CC1, logP: 5.0, SAScore: 3.0, MolWeight: N/A
SMILES: O=C(O[C@@H]1[C@@H](O)[C@H](Oc2c(O)cc3oc4cc(O)c(O)cc4c(=O)c3c2O)O[C@H](CO)[C@H]1O)c1cc(O)c(O)c(O)c1, logP: 2.0, SAScore: 7.0, MolWeight: N/A
SMILES: C=C[C@H]1[C@@H](O[C@@H]2O[C@H](CO)[C@@H](O)[C@H](O)[C@H]2O)OC=C(C(=O)[O-])[C@H]1/C=C/c1cc(C(=O)[O-])c[n+](C)c1, logP: -2.0, SAScore: 7.0, MolWeight: N/A
SMILES: CC(C)=CCCC1(C)C=Cc2c(O)c(C(=O)/C=C/c3cc(O)cc(O)c3O)cc(O)c2O1, logP: 5.0, SAScore: 4.0, MolWeight: N/A
SMILES: COC(=O)[C@]12CCC(C)(C)C[C@H]1[C@H]1C(=O)C=C3[C@@]4(C)[C@H]5O[C@H]5C(=O)C(C)(C)[C@@H]4CC[C@@]3(C)[C@]1(C)CC2, logP: 6.0, SAScore: 9.0, MolWeight: N/A
SMILES: CCC1CC2CC3C4CCC(C4)C3CC=C(C)C2C1, logP: 5.0, SAScore: 4.0, MolWeight: N/A
SMILES: Cc1ccc(CCc2c(C)c(C)cc(C)c2O)cc1C, logP: 6.0, SAScore: 2.0, MolWeight: N/A
SMILES: COc1ccc2c(c1)c(CCNC(C)=O)cn2C1=C(C)C(=O)C(O)=C([C@H](C)CCC=C(C)C)C1=O, logP: 6.0, SAScore: 4.0, MolWeight: N/A
SMILES: CC(C)=CCc1c(O[C@@H]2O[C@H](CO)[C@@H](O)[C@H](O)[C@H]2O)cc(O)c2c1O[C@H](c1ccc(O)c(O)c1)[C@@H](O)C2=O, logP: -1.0, SAScore: 4.0, MolWeight: N/A
SMILES: CCN1C[C@]2(C)CC[C@H](OC)[C@]34C1[C@H]([C@@H](O)[C@H]23)[C@@]1(O)CC[C@H]2C[C@@H]4[C@@H]1C(=O)O2, logP: 1.0, SAScore: 9.0, MolWeight: N/A
SMILES: C[C@@H]([C@H]1OC(=O)[C@H](O)[C@@H]1O)[C@H](C)O, logP: -1.0, SAScore: 1.0, MolWeight: N/A
SMILES: CC[C@H](C)[C@H](NC(=O)[C@H](C[N+](=O)[O-])NC(=O)[C@@H](NC(=O)[C@@H]1CCCN1C(=O)[C@H](C)NC(=O)[C@@H](N)CC(N)=O)C(C)C)C(=O)N1CCC[C@H]1C(=O)N[C@@H](CCC(N)=O)C(=O)NO, logP: -1.0, SAScore: 9.0, MolWeight: N/A
SMILES: CCCCCCCCc1ccccc1, logP: 5.0, SAScore: 1.0, MolWeight: N/A
SMILES: Cc1cc(C)c(O)c(C(C)C)c1C, logP: 6.0, SAScore: 2.0, MolWeight: N/A
SMILES: OC[C@H](O)[CH]O[C@@H]1O[C@H](CO)[C@@H](O)[C@H](O)[C@H]1O, logP: -2.0, SAScore: 1.0, MolWeight: N/A
SMILES: C[C@H](O)[C@H](C)C1=C[C@@H](O)C[C@H](O)[C@H]1O, logP: -2.0, SAScore: 1.0, MolWeight: N/A
SMILES: CC(=O)NCCCNCCCCNCCCNC(=O)CC(OC(=O)/C=C/c1ccc(O)c(O)c1)c1ccc(O)c(O)c1, logP: -2.0, SAScore: 4.0, MolWeight: N/A
SMILES: Cc1cc(C)c(O)c(C)c1C, logP: 3.0, SAScore: 2.0, MolWeight: N/A
SMILES: CC1(C)CCC[C@]2(C)[C@@H]1C[C@H](O)[C@@]13C=C[C@@](CO)(C1)[C@H](O)C[C@@H]23, logP: 2.0, SAScore: 7.0, MolWeight: N/A
