SMILES: O=C(O)C(=O)O, logP: -2.0, SAScore: 2.0, MolWeight: 4.0
SMILES: CN(C)C=O, logP: 0.0, SAScore: 3.0, MolWeight: 4.0
SMILES: CCCC, logP: 2.0, SAScore: 2.0, MolWeight: 3.0
SMILES: COC(N)=O, logP: 0.0, SAScore: 3.0, MolWeight: 3.0
SMILES: OCCO, logP: -2.0, SAScore: 3.0, MolWeight: 4.0
SMILES: CC(=O)O, logP: 0.0, SAScore: 2.0, MolWeight: 4.0
SMILES: C=CCCC, logP: 2.0, SAScore: 2.0, MolWeight: 4.0
SMILES: CCO, logP: 0.0, SAScore: 2.0, MolWeight: 3.0
SMILES: NCCO, logP: -2.0, SAScore: 3.0, MolWeight: 4.0
SMILES: CCCC, logP: 2.0, SAScore: 2.0, MolWeight: 3.0
SMILES: CCCCl, logP: 2.0, SAScore: 3.0, MolWeight: 4.0
SMILES: C=CC(C)C, logP: 2.0, SAScore: 3.0, MolWeight: 4.0
SMILES: C=CCO, logP: 0.0, SAScore: 3.0, MolWeight: 4.0
SMILES: CC=CCC#N, logP: 2.0, SAScore: 3.0, MolWeight: 3.0
SMILES: NCCCN, logP: -2.0, SAScore: 2.0, MolWeight: 4.0
SMILES: O=C(O)CO, logP: -2.0, SAScore: 2.0, MolWeight: 3.0
SMILES: NCCO, logP: -2.0, SAScore: 3.0, MolWeight: 4.0
SMILES: NCCO, logP: -2.0, SAScore: 3.0, MolWeight: 3.0
SMILES: CCC(C)C, logP: 2.0, SAScore: 2.0, MolWeight: 3.0
SMILES: NCCO, logP: -2.0, SAScore: 3.0, MolWeight: 3.0
SMILES: CC(O)CO, logP: 0.0, SAScore: 3.0, MolWeight: 3.0
SMILES: O=C(O)CO, logP: -2.0, SAScore: 2.0, MolWeight: 4.0
SMILES: CCCl, logP: 2.0, SAScore: 3.0, MolWeight: 3.0
SMILES: CC(C)O, logP: 0.0, SAScore: 3.0, MolWeight: 3.0
SMILES: ClCCCl, logP: 2.0, SAScore: 3.0, MolWeight: 4.0
SMILES: OCCO, logP: -2.0, SAScore: 2.0, MolWeight: 3.0
SMILES: CCCC, logP: 2.0, SAScore: 2.0, MolWeight: 4.0
SMILES: CCCC, logP: 2.0, SAScore: 2.0, MolWeight: 4.0
SMILES: CC(N)=O, logP: 0.0, SAScore: 2.0, MolWeight: 4.0
SMILES: CC(C)O, logP: 0.0, SAScore: 3.0, MolWeight: 3.0
SMILES: NCCN, logP: -2.0, SAScore: 3.0, MolWeight: 3.0
SMILES: CCCC, logP: 2.0, SAScore: 2.0, MolWeight: 4.0
SMILES: CN(C)C=O, logP: 0.0, SAScore: 3.0, MolWeight: 3.0
SMILES: C#CCO, logP: 0.0, SAScore: 3.0, MolWeight: 3.0
SMILES: CC(N)=O, logP: 0.0, SAScore: 2.0, MolWeight: 3.0
SMILES: NCCO, logP: -2.0, SAScore: 3.0, MolWeight: 4.0
SMILES: OCCO, logP: -2.0, SAScore: 2.0, MolWeight: 3.0
SMILES: CCCC, logP: 2.0, SAScore: 2.0, MolWeight: 4.0
SMILES: NCCO, logP: -2.0, SAScore: 3.0, MolWeight: 3.0
SMILES: CO, logP: 0.0, SAScore: 3.0, MolWeight: 3.0
SMILES: CCCC, logP: 2.0, SAScore: 2.0, MolWeight: 3.0
SMILES: CCCC, logP: 2.0, SAScore: 2.0, MolWeight: 4.0
SMILES: NC(N)=O, logP: -2.0, SAScore: 2.0, MolWeight: 4.0
SMILES: CO, logP: 0.0, SAScore: 3.0, MolWeight: 3.0
SMILES: OCCO, logP: -2.0, SAScore: 2.0, MolWeight: 4.0
SMILES: CCO, logP: 0.0, SAScore: 2.0, MolWeight: 4.0
SMILES: CCO, logP: 0.0, SAScore: 2.0, MolWeight: 4.0
SMILES: CCCC, logP: 2.0, SAScore: 2.0, MolWeight: 3.0
SMILES: C#CCO, logP: 0.0, SAScore: 3.0, MolWeight: 3.0
SMILES: NC(N)=O, logP: -2.0, SAScore: 2.0, MolWeight: 4.0
SMILES: NCC(=O)O, logP: -2.0, SAScore: 2.0, MolWeight: 3.0
SMILES: CCO, logP: 0.0, SAScore: 2.0, MolWeight: 4.0
SMILES: CCCS, logP: 2.0, SAScore: 3.0, MolWeight: 3.0
SMILES: OCCO, logP: -2.0, SAScore: 3.0, MolWeight: 3.0
SMILES: CC(N)=O, logP: 0.0, SAScore: 2.0, MolWeight: 4.0
SMILES: CCO, logP: 0.0, SAScore: 2.0, MolWeight: 4.0
SMILES: CCCC, logP: 2.0, SAScore: 2.0, MolWeight: 3.0
SMILES: NCCN, logP: -2.0, SAScore: 3.0, MolWeight: 4.0
SMILES: CC(N)=O, logP: 0.0, SAScore: 2.0, MolWeight: 3.0
SMILES: C=CCC, logP: 2.0, SAScore: 3.0, MolWeight: 4.0
SMILES: CCCC, logP: 2.0, SAScore: 2.0, MolWeight: 4.0
SMILES: OCCO, logP: -2.0, SAScore: 2.0, MolWeight: 4.0
SMILES: OCCO, logP: -2.0, SAScore: 3.0, MolWeight: 4.0
SMILES: O=C(O)C(=O)O, logP: -2.0, SAScore: 2.0, MolWeight: 4.0
SMILES: OCCO, logP: -2.0, SAScore: 3.0, MolWeight: 4.0
SMILES: CO, logP: 0.0, SAScore: 3.0, MolWeight: 3.0
SMILES: C=CCC, logP: 2.0, SAScore: 3.0, MolWeight: 4.0
SMILES: N#CCN, logP: 0.0, SAScore: 3.0, MolWeight: 4.0
SMILES: CCCCl, logP: 2.0, SAScore: 3.0, MolWeight: 4.0
SMILES: CC(C)(C)S, logP: 2.0, SAScore: 3.0, MolWeight: 4.0
SMILES: C=CC(C)C, logP: 2.0, SAScore: 3.0, MolWeight: 3.0
SMILES: CCCC, logP: 2.0, SAScore: 2.0, MolWeight: 4.0
SMILES: CC(Cl)Cl, logP: 2.0, SAScore: 3.0, MolWeight: 3.0
SMILES: OCCO, logP: -2.0, SAScore: 3.0, MolWeight: 4.0
SMILES: N#CCC#N, logP: 0.0, SAScore: 3.0, MolWeight: 4.0
SMILES: C=O, logP: 0.0, SAScore: 3.0, MolWeight: 3.0
SMILES: OCCO, logP: -2.0, SAScore: 3.0, MolWeight: 4.0
SMILES: OCCO, logP: -2.0, SAScore: 2.0, MolWeight: 4.0
SMILES: CN(C)C=O, logP: 0.0, SAScore: 3.0, MolWeight: 3.0
SMILES: COC=O, logP: 0.0, SAScore: 2.0, MolWeight: 4.0
SMILES: NCCN, logP: -2.0, SAScore: 3.0, MolWeight: 3.0
SMILES: ClCCl, logP: 2.0, SAScore: 3.0, MolWeight: 3.0
SMILES: CCO, logP: 0.0, SAScore: 2.0, MolWeight: 3.0
SMILES: CCCl, logP: 2.0, SAScore: 3.0, MolWeight: 4.0
SMILES: CCCCC#N, logP: 2.0, SAScore: 2.0, MolWeight: 4.0
SMILES: NNC=O, logP: -2.0, SAScore: 2.0, MolWeight: 3.0
SMILES: CC(=O)C(=O)O, logP: 0.0, SAScore: 2.0, MolWeight: 3.0
SMILES: CCCC, logP: 2.0, SAScore: 2.0, MolWeight: 3.0
SMILES: CCCC#N, logP: 2.0, SAScore: 3.0, MolWeight: 4.0
SMILES: CC(N)=O, logP: 0.0, SAScore: 2.0, MolWeight: 4.0
SMILES: CO, logP: 0.0, SAScore: 3.0, MolWeight: 4.0
SMILES: CCCC, logP: 2.0, SAScore: 2.0, MolWeight: 4.0
SMILES: CC(N)=O, logP: 0.0, SAScore: 2.0, MolWeight: 3.0
SMILES: C=CC=CC=O, logP: 2.0, SAScore: 3.0, MolWeight: 4.0
SMILES: Cn1cncn1, logP: 0.0, SAScore: 3.0, MolWeight: 3.0
SMILES: C=CCC, logP: 2.0, SAScore: 3.0, MolWeight: 4.0
SMILES: NC(N)=O, logP: -2.0, SAScore: 2.0, MolWeight: 3.0
SMILES: CSC(=N)N, logP: 0.0, SAScore: 3.0, MolWeight: 4.0
SMILES: CC(N)=O, logP: 0.0, SAScore: 2.0, MolWeight: 4.0
SMILES: CO, logP: 0.0, SAScore: 3.0, MolWeight: 3.0
SMILES: COCC(C)O, logP: 0.0, SAScore: 3.0, MolWeight: 3.0
SMILES: C#N, logP: 0.0, SAScore: 3.0, MolWeight: 4.0
SMILES: CCCC, logP: 2.0, SAScore: 2.0, MolWeight: 4.0
SMILES: CCCC, logP: 2.0, SAScore: 2.0, MolWeight: 3.0
SMILES: OCCO, logP: -2.0, SAScore: 3.0, MolWeight: 4.0
SMILES: O=C(O)CO, logP: -2.0, SAScore: 2.0, MolWeight: 4.0
SMILES: N#CC=CC#N, logP: 2.0, SAScore: 3.0, MolWeight: 3.0
SMILES: OCCO, logP: -2.0, SAScore: 2.0, MolWeight: 4.0
SMILES: CCCC, logP: 2.0, SAScore: 2.0, MolWeight: 4.0
SMILES: OCCO, logP: -2.0, SAScore: 2.0, MolWeight: 4.0
SMILES: NCCO, logP: -2.0, SAScore: 3.0, MolWeight: 3.0
SMILES: C=CCC, logP: 2.0, SAScore: 2.0, MolWeight: 3.0
SMILES: COS(C)(=O)=O, logP: 0.0, SAScore: 3.0, MolWeight: 3.0
SMILES: C=CCC, logP: 2.0, SAScore: 3.0, MolWeight: 3.0
SMILES: CCO, logP: 0.0, SAScore: 2.0, MolWeight: 4.0
SMILES: CC(N)=O, logP: 0.0, SAScore: 2.0, MolWeight: 3.0
SMILES: CC(O)CO, logP: 0.0, SAScore: 3.0, MolWeight: 3.0
SMILES: NC(N)=O, logP: -2.0, SAScore: 2.0, MolWeight: 3.0
SMILES: NCCO, logP: -2.0, SAScore: 3.0, MolWeight: 4.0
SMILES: OCCO, logP: -2.0, SAScore: 2.0, MolWeight: 4.0
SMILES: OCCO, logP: -2.0, SAScore: 2.0, MolWeight: 4.0
SMILES: CO, logP: 0.0, SAScore: 2.0, MolWeight: 3.0
SMILES: C=CCC, logP: 2.0, SAScore: 3.0, MolWeight: 4.0
SMILES: CC(N)=O, logP: 0.0, SAScore: 2.0, MolWeight: 4.0
SMILES: CNC(C)=O, logP: 0.0, SAScore: 2.0, MolWeight: 3.0
SMILES: C=CC=CC, logP: 2.0, SAScore: 3.0, MolWeight: 3.0
SMILES: OCCO, logP: -2.0, SAScore: 3.0, MolWeight: 4.0
SMILES: NCC(=O)O, logP: -2.0, SAScore: 2.0, MolWeight: 3.0
SMILES: CC(C)C, logP: 2.0, SAScore: 2.0, MolWeight: 4.0
SMILES: C=CC=CC, logP: 2.0, SAScore: 3.0, MolWeight: 3.0
SMILES: OCCO, logP: -2.0, SAScore: 3.0, MolWeight: 4.0
SMILES: CC(N)=O, logP: 0.0, SAScore: 2.0, MolWeight: 4.0
SMILES: NCCN, logP: -2.0, SAScore: 3.0, MolWeight: 4.0
SMILES: O=CC=O, logP: 0.0, SAScore: 3.0, MolWeight: 4.0
SMILES: CC(Cl)Cl, logP: 2.0, SAScore: 3.0, MolWeight: 3.0
SMILES: CC(C)C=O, logP: 2.0, SAScore: 3.0, MolWeight: 3.0
SMILES: CCCC, logP: 2.0, SAScore: 2.0, MolWeight: 4.0
SMILES: OCCO, logP: -2.0, SAScore: 2.0, MolWeight: 4.0
SMILES: CC(N)=O, logP: 0.0, SAScore: 2.0, MolWeight: 3.0
SMILES: CCCC, logP: 2.0, SAScore: 2.0, MolWeight: 4.0
SMILES: NCCN, logP: -2.0, SAScore: 3.0, MolWeight: 4.0
SMILES: CCCC, logP: 2.0, SAScore: 2.0, MolWeight: 3.0
SMILES: OCCO, logP: -2.0, SAScore: 2.0, MolWeight: 3.0
SMILES: CCCC, logP: 2.0, SAScore: 2.0, MolWeight: 3.0
SMILES: C#CCO, logP: 0.0, SAScore: 3.0, MolWeight: 4.0
SMILES: CCCC, logP: 2.0, SAScore: 2.0, MolWeight: 3.0
SMILES: NC(N)=O, logP: -2.0, SAScore: 2.0, MolWeight: 3.0
SMILES: CCCC, logP: 2.0, SAScore: 2.0, MolWeight: 4.0
SMILES: CCCC, logP: 2.0, SAScore: 2.0, MolWeight: 4.0
SMILES: CC(N)=O, logP: 0.0, SAScore: 2.0, MolWeight: 4.0
SMILES: OCCO, logP: -2.0, SAScore: 3.0, MolWeight: 3.0
SMILES: OCCO, logP: -2.0, SAScore: 2.0, MolWeight: 4.0
SMILES: CO, logP: 0.0, SAScore: 3.0, MolWeight: 4.0
SMILES: CCCC, logP: 2.0, SAScore: 2.0, MolWeight: 3.0
SMILES: CC(O)CN, logP: 0.0, SAScore: 3.0, MolWeight: 3.0
SMILES: CC(N)=O, logP: 0.0, SAScore: 2.0, MolWeight: 3.0
SMILES: NCCO, logP: -2.0, SAScore: 3.0, MolWeight: 4.0
SMILES: NCCO, logP: -2.0, SAScore: 3.0, MolWeight: 4.0
SMILES: O=C(O)CCS, logP: 0.0, SAScore: 3.0, MolWeight: 3.0
SMILES: C=CC(C)C, logP: 2.0, SAScore: 3.0, MolWeight: 4.0
SMILES: ClCCl, logP: 2.0, SAScore: 3.0, MolWeight: 3.0
SMILES: NC(N)=O, logP: -2.0, SAScore: 2.0, MolWeight: 4.0
SMILES: O=C1NCCO1, logP: 0.0, SAScore: 3.0, MolWeight: 4.0
SMILES: C=CCC, logP: 2.0, SAScore: 3.0, MolWeight: 4.0
SMILES: C=CC=CC, logP: 2.0, SAScore: 3.0, MolWeight: 3.0
SMILES: O=C(O)CC(O)(O)CC(=O)O, logP: -2.0, SAScore: 3.0, MolWeight: 4.0
SMILES: NC(N)=O, logP: -2.0, SAScore: 2.0, MolWeight: 4.0
SMILES: C=CCO, logP: 0.0, SAScore: 3.0, MolWeight: 4.0
SMILES: CC(N)=O, logP: 0.0, SAScore: 2.0, MolWeight: 4.0
SMILES: C#CCO, logP: 0.0, SAScore: 3.0, MolWeight: 3.0
SMILES: CNC, logP: 0.0, SAScore: 2.0, MolWeight: 4.0
SMILES: OCCO, logP: -2.0, SAScore: 2.0, MolWeight: 4.0
SMILES: CCC(C)C, logP: 2.0, SAScore: 2.0, MolWeight: 4.0
SMILES: CC(O)CO, logP: 0.0, SAScore: 3.0, MolWeight: 4.0
SMILES: O=C(O)CO, logP: -2.0, SAScore: 2.0, MolWeight: 3.0
SMILES: OCCO, logP: -2.0, SAScore: 3.0, MolWeight: 4.0
SMILES: CCCC, logP: 2.0, SAScore: 2.0, MolWeight: 3.0
SMILES: CCCC, logP: 2.0, SAScore: 2.0, MolWeight: 4.0
SMILES: C=CC=CC=O, logP: 2.0, SAScore: 3.0, MolWeight: 4.0
SMILES: O=C(O)CO, logP: -2.0, SAScore: 2.0, MolWeight: 4.0
SMILES: CO, logP: 0.0, SAScore: 3.0, MolWeight: 3.0
SMILES: C=CC=CC, logP: 2.0, SAScore: 3.0, MolWeight: 4.0
SMILES: CCC(N)=O, logP: 0.0, SAScore: 2.0, MolWeight: 4.0
SMILES: CC(O)CO, logP: 0.0, SAScore: 3.0, MolWeight: 4.0
SMILES: OCC(O)CO, logP: -2.0, SAScore: 3.0, MolWeight: 3.0
SMILES: NCC(=O)O, logP: -2.0, SAScore: 2.0, MolWeight: 4.0
SMILES: C=CCO, logP: 0.0, SAScore: 3.0, MolWeight: 3.0
SMILES: OCCO, logP: -2.0, SAScore: 2.0, MolWeight: 3.0
SMILES: CN(C)C, logP: 0.0, SAScore: 2.0, MolWeight: 3.0
SMILES: NC(N)=O, logP: -2.0, SAScore: 2.0, MolWeight: 4.0
SMILES: CCCC, logP: 2.0, SAScore: 2.0, MolWeight: 3.0
SMILES: CC(C)C, logP: 2.0, SAScore: 2.0, MolWeight: 4.0
SMILES: C=CCC, logP: 2.0, SAScore: 3.0, MolWeight: 3.0
SMILES: NCCO, logP: -2.0, SAScore: 3.0, MolWeight: 3.0
SMILES: C=CCO, logP: 0.0, SAScore: 3.0, MolWeight: 3.0
SMILES: CC(C)Cl, logP: 2.0, SAScore: 3.0, MolWeight: 4.0
SMILES: N[C@@H](CS)C(=O)O, logP: -2.0, SAScore: 3.0, MolWeight: 3.0
SMILES: CO, logP: 0.0, SAScore: 2.0, MolWeight: 4.0
SMILES: NC(N)=O, logP: -2.0, SAScore: 2.0, MolWeight: 3.0
SMILES: CCCC, logP: 2.0, SAScore: 2.0, MolWeight: 3.0
SMILES: NCCCN, logP: -2.0, SAScore: 2.0, MolWeight: 3.0
SMILES: CCCC, logP: 2.0, SAScore: 2.0, MolWeight: 4.0
SMILES: CC(=O)O, logP: 0.0, SAScore: 2.0, MolWeight: 4.0
SMILES: CCCCC=O, logP: 2.0, SAScore: 2.0, MolWeight: 3.0
SMILES: CCCC, logP: 2.0, SAScore: 2.0, MolWeight: 4.0
SMILES: NC(N)=O, logP: -2.0, SAScore: 2.0, MolWeight: 3.0
SMILES: CCO, logP: 0.0, SAScore: 3.0, MolWeight: 3.0
SMILES: CC(C)C=O, logP: 2.0, SAScore: 3.0, MolWeight: 3.0
SMILES: CC(C)(C)OO, logP: 2.0, SAScore: 3.0, MolWeight: 4.0
SMILES: CCO, logP: 0.0, SAScore: 2.0, MolWeight: 4.0
SMILES: CCCCC#N, logP: 2.0, SAScore: 2.0, MolWeight: 3.0
SMILES: CC(=O)O, logP: 0.0, SAScore: 2.0, MolWeight: 3.0
SMILES: CCO, logP: 0.0, SAScore: 2.0, MolWeight: 3.0
SMILES: NC(N)=O, logP: -2.0, SAScore: 2.0, MolWeight: 4.0
SMILES: CCCC, logP: 2.0, SAScore: 2.0, MolWeight: 4.0
SMILES: CC(N)=O, logP: 0.0, SAScore: 2.0, MolWeight: 4.0
SMILES: OCCCO, logP: 0.0, SAScore: 3.0, MolWeight: 3.0
SMILES: OCCO, logP: -2.0, SAScore: 3.0, MolWeight: 3.0
SMILES: OCCO, logP: -2.0, SAScore: 3.0, MolWeight: 4.0
SMILES: CCCl, logP: 2.0, SAScore: 3.0, MolWeight: 3.0
SMILES: CC(N)=O, logP: 0.0, SAScore: 2.0, MolWeight: 3.0
SMILES: C=CCC, logP: 2.0, SAScore: 3.0, MolWeight: 4.0
SMILES: CCCC, logP: 2.0, SAScore: 2.0, MolWeight: 3.0
SMILES: NCC(=O)O, logP: -2.0, SAScore: 2.0, MolWeight: 4.0
SMILES: CC(N)=O, logP: 0.0, SAScore: 2.0, MolWeight: 3.0
SMILES: CCCCN, logP: 2.0, SAScore: 2.0, MolWeight: 4.0
SMILES: CC(N)=O, logP: 0.0, SAScore: 2.0, MolWeight: 3.0
SMILES: CC(C)O, logP: 0.0, SAScore: 3.0, MolWeight: 3.0
SMILES: CCCO, logP: 0.0, SAScore: 2.0, MolWeight: 4.0
SMILES: CC(C)F, logP: 2.0, SAScore: 3.0, MolWeight: 4.0
SMILES: CCC#N, logP: 2.0, SAScore: 3.0, MolWeight: 4.0
SMILES: C=CCC, logP: 2.0, SAScore: 3.0, MolWeight: 3.0
SMILES: C=CCC, logP: 2.0, SAScore: 3.0, MolWeight: 3.0
SMILES: CC(N)=O, logP: 0.0, SAScore: 2.0, MolWeight: 3.0
SMILES: CC[N+](C)(C)C, logP: 2.0, SAScore: 3.0, MolWeight: 3.0
SMILES: CC(C)O, logP: 0.0, SAScore: 3.0, MolWeight: 4.0
SMILES: CO, logP: 0.0, SAScore: 3.0, MolWeight: 4.0
SMILES: C=CC=CC, logP: 2.0, SAScore: 3.0, MolWeight: 4.0
SMILES: NCCN, logP: -2.0, SAScore: 3.0, MolWeight: 3.0
SMILES: CC=C(C)C=O, logP: 2.0, SAScore: 3.0, MolWeight: 3.0
SMILES: OCCO, logP: -2.0, SAScore: 3.0, MolWeight: 3.0
SMILES: C=CCC, logP: 2.0, SAScore: 3.0, MolWeight: 4.0
SMILES: C#N, logP: 0.0, SAScore: 3.0, MolWeight: 4.0
SMILES: OCCO, logP: -2.0, SAScore: 3.0, MolWeight: 4.0
SMILES: N#CCCN, logP: 0.0, SAScore: 3.0, MolWeight: 4.0
SMILES: CC(N)=O, logP: 0.0, SAScore: 2.0, MolWeight: 3.0
SMILES: C=CC(=C)C, logP: 2.0, SAScore: 3.0, MolWeight: 3.0
SMILES: C=CC(C)C, logP: 2.0, SAScore: 3.0, MolWeight: 4.0
SMILES: CN(C)C=O, logP: 0.0, SAScore: 3.0, MolWeight: 3.0
SMILES: CC(=O)O, logP: 0.0, SAScore: 2.0, MolWeight: 3.0
SMILES: CC(O)CO, logP: 0.0, SAScore: 3.0, MolWeight: 3.0
SMILES: OCCO, logP: -2.0, SAScore: 3.0, MolWeight: 4.0
SMILES: NCC(=O)O, logP: -2.0, SAScore: 2.0, MolWeight: 4.0
SMILES: CN, logP: 0.0, SAScore: 2.0, MolWeight: 4.0
SMILES: NC(N)=O, logP: -2.0, SAScore: 2.0, MolWeight: 3.0
SMILES: CCCC, logP: 2.0, SAScore: 2.0, MolWeight: 4.0
SMILES: CO, logP: 0.0, SAScore: 3.0, MolWeight: 3.0
SMILES: CCCC, logP: 2.0, SAScore: 2.0, MolWeight: 3.0
SMILES: COCC(C)O, logP: 0.0, SAScore: 3.0, MolWeight: 4.0
SMILES: N#CCCC#N, logP: 0.0, SAScore: 3.0, MolWeight: 3.0
SMILES: NC(N)=O, logP: -2.0, SAScore: 2.0, MolWeight: 4.0
SMILES: O=P(O)(O)O, logP: -2.0, SAScore: 3.0, MolWeight: 4.0
SMILES: CC(N)=O, logP: 0.0, SAScore: 2.0, MolWeight: 3.0
SMILES: C=CC(C)C, logP: 2.0, SAScore: 3.0, MolWeight: 4.0
SMILES: CCO, logP: 0.0, SAScore: 2.0, MolWeight: 4.0
SMILES: CC#N, logP: 2.0, SAScore: 3.0, MolWeight: 3.0
SMILES: CCCC, logP: 2.0, SAScore: 2.0, MolWeight: 3.0
SMILES: CC(N)=O, logP: 0.0, SAScore: 2.0, MolWeight: 3.0
SMILES: CCCCl, logP: 2.0, SAScore: 3.0, MolWeight: 4.0
SMILES: CCCC, logP: 2.0, SAScore: 2.0, MolWeight: 4.0
SMILES: OCC(O)CO, logP: -2.0, SAScore: 3.0, MolWeight: 3.0
SMILES: CCCC, logP: 2.0, SAScore: 2.0, MolWeight: 4.0
SMILES: CCCC, logP: 2.0, SAScore: 2.0, MolWeight: 4.0
SMILES: CC(N)=O, logP: 0.0, SAScore: 2.0, MolWeight: 3.0
SMILES: CC(C)CC=O, logP: 2.0, SAScore: 3.0, MolWeight: 4.0
SMILES: CCCC, logP: 2.0, SAScore: 2.0, MolWeight: 4.0
SMILES: CO, logP: 0.0, SAScore: 3.0, MolWeight: 3.0
SMILES: CCCC, logP: 2.0, SAScore: 2.0, MolWeight: 3.0
SMILES: CCO, logP: 0.0, SAScore: 2.0, MolWeight: 3.0
SMILES: CC(C)S, logP: 2.0, SAScore: 3.0, MolWeight: 4.0
SMILES: CCCC, logP: 2.0, SAScore: 2.0, MolWeight: 3.0
SMILES: CC(C)C=O, logP: 2.0, SAScore: 3.0, MolWeight: 3.0
SMILES: CO, logP: 0.0, SAScore: 2.0, MolWeight: 3.0
SMILES: NC(N)=O, logP: -2.0, SAScore: 2.0, MolWeight: 3.0
SMILES: CC=CCC=O, logP: 2.0, SAScore: 3.0, MolWeight: 3.0
SMILES: NC(N)=O, logP: -2.0, SAScore: 2.0, MolWeight: 3.0
SMILES: O=C(O)CO, logP: -2.0, SAScore: 2.0, MolWeight: 4.0
SMILES: NC(N)=O, logP: -2.0, SAScore: 2.0, MolWeight: 3.0
SMILES: CC(N)=O, logP: 0.0, SAScore: 2.0, MolWeight: 4.0
SMILES: NCCO, logP: -2.0, SAScore: 3.0, MolWeight: 3.0
SMILES: NCCO, logP: -2.0, SAScore: 3.0, MolWeight: 4.0
SMILES: C=CC(C)C, logP: 2.0, SAScore: 3.0, MolWeight: 3.0
SMILES: CCCC, logP: 2.0, SAScore: 2.0, MolWeight: 4.0
SMILES: NCC(=O)O, logP: -2.0, SAScore: 2.0, MolWeight: 4.0
SMILES: NC(N)=O, logP: -2.0, SAScore: 2.0, MolWeight: 4.0
SMILES: C=CC=CC, logP: 2.0, SAScore: 3.0, MolWeight: 4.0
SMILES: C=CCC, logP: 2.0, SAScore: 3.0, MolWeight: 3.0
SMILES: NC(=O)NC=O, logP: -2.0, SAScore: 3.0, MolWeight: 3.0
SMILES: NCCCN, logP: 0.0, SAScore: 3.0, MolWeight: 4.0
SMILES: CN(C)C=O, logP: 0.0, SAScore: 3.0, MolWeight: 4.0
SMILES: COCC(C)O, logP: 0.0, SAScore: 3.0, MolWeight: 3.0
SMILES: CCCC, logP: 2.0, SAScore: 2.0, MolWeight: 4.0
SMILES: CNCN, logP: -2.0, SAScore: 3.0, MolWeight: 4.0
SMILES: CC(N)=O, logP: 0.0, SAScore: 2.0, MolWeight: 3.0
SMILES: N=C(N)NCCC[C@H](N)C(=O)O, logP: -2.0, SAScore: 3.0, MolWeight: 3.0
SMILES: CC(N)=O, logP: 0.0, SAScore: 2.0, MolWeight: 3.0
SMILES: O=C(O)CO, logP: -2.0, SAScore: 2.0, MolWeight: 4.0
SMILES: CC(C)(C)C=O, logP: 2.0, SAScore: 3.0, MolWeight: 4.0
SMILES: CC(N)=O, logP: 0.0, SAScore: 2.0, MolWeight: 4.0
SMILES: N#CCCN, logP: 0.0, SAScore: 3.0, MolWeight: 4.0
SMILES: CCCC, logP: 2.0, SAScore: 2.0, MolWeight: 4.0
SMILES: OCCO, logP: -2.0, SAScore: 2.0, MolWeight: 3.0
SMILES: CCCC, logP: 2.0, SAScore: 2.0, MolWeight: 4.0
SMILES: OCCO, logP: -2.0, SAScore: 3.0, MolWeight: 4.0
SMILES: O=C1NC(=O)C(=O)N1, logP: -2.0, SAScore: 3.0, MolWeight: 4.0
SMILES: C=CCO, logP: 0.0, SAScore: 3.0, MolWeight: 3.0
SMILES: CCCC, logP: 2.0, SAScore: 2.0, MolWeight: 3.0
SMILES: C=CCO, logP: 0.0, SAScore: 3.0, MolWeight: 4.0
