SMILES: Cc1c(C)c2c(c(C)c1O)CCC(C)(C(=O)NCCS)O2, logP: 2.0, SAScore: 4.0, MolWeight: N/A
SMILES: CCOC(=O)C1=C(C)Nc2nc3c(c(N)c2C1c1cc(C)c(O)c(C)c1C)CCC3, logP: 4.0, SAScore: 3.0, MolWeight: N/A
SMILES: Cc1cc(C)c(OC(=O)c2ccc([N+](=O)[O-])cc2)c(C)c1, logP: 4.0, SAScore: 2.0, MolWeight: N/A
SMILES: C/C(=C\C(=O)C/C(C)=C/Cc1cc(O)cc(C)c1O)CCCC(C)(O)C(=O)/C=C/C(C)(C)O, logP: 4.0, SAScore: 4.0, MolWeight: N/A
SMILES: CCOC(=O)[C@@H]1CC(=O)c2sccc2[C@H]1c1cc(C)cc(OC)c1, logP: 4.0, SAScore: 3.0, MolWeight: N/A
SMILES: CC[C@H](C)C(=O)c1c(O)c(C)c2oc3c(C)c(O)c(C(=O)C(C)C)c(O)c3c2c1O, logP: 6.0, SAScore: 4.0, MolWeight: N/A
SMILES: COC(=O)[C@H](CSCc1ccccc1)NC(=O)CCc1ccc(C(C)(C)C)c(O)c1, logP: 4.0, SAScore: 4.0, MolWeight: N/A
SMILES: Cc1cc(O)c(C)c(O)c1C, logP: 2.0, SAScore: 2.0, MolWeight: N/A
SMILES: CC(C)=CCc1c(O)c(C=O)cc2c1[nH]c1ccc(C)cc12, logP: 4.0, SAScore: 3.0, MolWeight: N/A
SMILES: CCOP(=O)(OCC)C(C)(C)/[N+]([O-])=C/c1cc(C)c(O)c(C)c1, logP: 4.0, SAScore: 3.0, MolWeight: N/A
SMILES: Cc1c(C)c2c(c(C)c1O)CCC(C)(C(=O)NCCS)O2, logP: 2.0, SAScore: 4.0, MolWeight: N/A
SMILES: COC(=O)C(C)c1ccc(-c2ccc(NCc3cc(C)c(O)c(C)c3O)cc2)c(F)c1, logP: 6.0, SAScore: 3.0, MolWeight: N/A
SMILES: Cc1cc(C(C)(C)C)c(O)c(C(C)(C)C)c1, logP: 6.0, SAScore: 2.0, MolWeight: N/A
SMILES: Cc1cc(C)c(OC(=O)c2cccc([N+](=O)[O-])c2)c(C)c1, logP: 4.0, SAScore: 2.0, MolWeight: N/A
SMILES: CSCC[C@H](NC(=O)Cc1ccc(O)c(O)c1)C(=O)NCCc1ccc(O)c(O)c1, logP: 2.0, SAScore: 3.0, MolWeight: N/A
SMILES: C[C@H](NC(=O)[C@@H]1CCCN1)C(=O)N[C@@H](CCCCNC(=O)COc1ccc(C2=[N+]([O-])C(C)(C)C(C)(C)N2O)cc1)C(=O)O, logP: 2.0, SAScore: 4.0, MolWeight: N/A
SMILES: COC(=O)[C@H](CS)NC(=O)/C=C/c1cc(C(C)C)c(O)c(C)c1O, logP: 2.0, SAScore: 4.0, MolWeight: N/A
SMILES: COC(=O)CSc1nc(C(=O)N2CCC3(CC2)OCCO3)c(N(Cc2ccc(OC)c(OC)c2)C(C)C(=O)O)c(=O)[nH]1, logP: 2.0, SAScore: 4.0, MolWeight: N/A
SMILES: C/C(=C\C(=O)C/C(C)=C/Cc1cc(O)cc(C)c1O)CC/C=C(\C)Cc1cc(C)co1, logP: 6.0, SAScore: 3.0, MolWeight: N/A
SMILES: COC(=O)C(Cc1ccc(O)c(O)c1)C(C)C, logP: 2.0, SAScore: 3.0, MolWeight: N/A
SMILES: Cc1cc(C)c(O)c(C(C)(C)C)c1, logP: 4.0, SAScore: 2.0, MolWeight: N/A
SMILES: COC(=O)[C@H](CS)NC(=O)/C=C/c1cc(C(C)(C)C)c(O)c(C(C)(C)C)c1, logP: 2.0, SAScore: 4.0, MolWeight: N/A
SMILES: C[C@H](CS)C(=O)N1CCC[C@H]1C(=O)O, logP: 2.0, SAScore: 4.0, MolWeight: N/A
SMILES: C/C(=C\CCC(C)C)c1cc(C)c(O)c(C)c1O, logP: 6.0, SAScore: 3.0, MolWeight: N/A
SMILES: Cc1cc(C(C)(C)C)c(O)c(C(C)(C)C)c1, logP: 4.0, SAScore: 2.0, MolWeight: N/A
SMILES: Cc1cc(C(C)(C)C)c(O)c(C(C)(C)C)c1, logP: 6.0, SAScore: 2.0, MolWeight: N/A
SMILES: Cc1c(O)c(C(=O)C(C)C)c(O)c2c1oc1c(O)c(O)c(O)c(C=O)c12, logP: 2.0, SAScore: 3.0, MolWeight: N/A
SMILES: Cc1cc(O)c(C)c(O)c1, logP: 2.0, SAScore: 2.0, MolWeight: N/A
SMILES: CCCCc1cc(CC)c(OC(=O)c2ccccc2)cc1C, logP: 6.0, SAScore: 2.0, MolWeight: N/A
SMILES: C/C(=C\CCC1(C)CCc2cc(O)cc(C)c2O1)CC/C=C(\C)C(=O)O, logP: 6.0, SAScore: 3.0, MolWeight: N/A
SMILES: Cc1c(C)c2c(c(C)c1O)CCC(C)(C(=O)NCCCCNc1c3c(nc4ccccc14)CCCC3)O2, logP: 4.0, SAScore: 4.0, MolWeight: N/A
SMILES: CC(=O)[C@H](C)NC(=O)/C=C/c1ccc(C)c2oc(-c3ccc(O)c(O)c3)cc12, logP: 4.0, SAScore: 4.0, MolWeight: N/A
SMILES: Cc1cc(O)c(C(=O)O)cc1Cl, logP: 2.0, SAScore: 2.0, MolWeight: N/A
SMILES: C/C(=C/CC/C(C)=C/CC/C(C)=C/C(=O)C/C(C)=C/Cc1cc(O)cc(C)c1O)CO, logP: 6.0, SAScore: 3.0, MolWeight: N/A
SMILES: Cc1cc(C)c(O)c(C)c1C, logP: 4.0, SAScore: 2.0, MolWeight: N/A
SMILES: Cc1cc(C(C)(C)C)c(O)c(C(C)(C)C)c1, logP: 4.0, SAScore: 2.0, MolWeight: N/A
SMILES: Cc1cc(C)c(OC(=O)c2ccccc2F)c(O)c1C, logP: 4.0, SAScore: 2.0, MolWeight: N/A
SMILES: Cc1cc(O)c(C)c(O)c1C, logP: 2.0, SAScore: 2.0, MolWeight: N/A
SMILES: COC(=O)[C@H](CS)NC(=O)/C=C/c1cc(C(C)(C)C)c(O)c(C(C)(C)C)c1, logP: 2.0, SAScore: 3.0, MolWeight: N/A
SMILES: Cc1cc(C(C)(C)C)c(O)c(C(C)(C)C)c1, logP: 6.0, SAScore: 2.0, MolWeight: N/A
SMILES: Cc1cc(O)c(C)c(O)c1, logP: 2.0, SAScore: 2.0, MolWeight: N/A
SMILES: C[C@H](CS)C(=O)N1CCC[C@H]1C(=O)O, logP: 2.0, SAScore: 4.0, MolWeight: N/A
SMILES: CC(C)=CCc1c(O)c(C=O)cc2c1[nH]c1ccc(C)cc12, logP: 4.0, SAScore: 3.0, MolWeight: N/A
SMILES: C/C(=C\Cc1cc([C@@H]2CC(=O)c3c(O)cc(O)cc3O2)cc(O)c1O)CCCC(C)(C)O, logP: 6.0, SAScore: 3.0, MolWeight: N/A
SMILES: CC(C)=CCC/C(C)=C/C(=O)C/C(C)=C/Cc1cc(O)cc(C)c1O, logP: 6.0, SAScore: 3.0, MolWeight: N/A
SMILES: COC(=O)[C@H](CS)NC(=O)/C=C/c1cc(C(C)(C)C)c(O)c(C(C)(C)C)c1, logP: 2.0, SAScore: 3.0, MolWeight: N/A
SMILES: CC(=O)c1c(C)c2c(c(C)c1O)OC(C)(/C=[N+](\[O-])C1CC1)CC2, logP: 4.0, SAScore: 3.0, MolWeight: N/A
SMILES: CCC[C@@H](O)C[C@H]1OC(=O)c2c(cc(OC)c(OC)c2O)[C@H]1O, logP: 2.0, SAScore: 4.0, MolWeight: N/A
SMILES: CCOP(=O)(Oc1ccc(S(C)(=O)=O)c(C)c1)C(C)C, logP: 4.0, SAScore: 3.0, MolWeight: N/A
SMILES: CCC(C)(C)NCC(O)c1ccc(O)c([N+](=O)[O-])c1, logP: 2.0, SAScore: 3.0, MolWeight: N/A
SMILES: COC(=O)[C@H](Cc1cn(CC=C(C)C)c2ccccc12)NC(C)=O, logP: 4.0, SAScore: 3.0, MolWeight: N/A
SMILES: CC(C)=CC(O)C/C(C)=C/CC/C(C)=C/C(=O)C/C(C)=C/Cc1cc(O)cc(C)c1O, logP: 6.0, SAScore: 4.0, MolWeight: N/A
SMILES: C/C=C(/C)C(=O)Oc1c(C(C)=O)c(O)c(OC)c2c1[C@@H](C)[C@@H](O)C=C2, logP: 4.0, SAScore: 4.0, MolWeight: N/A
SMILES: CN(C)N(C)CCCCCCNc1ncnc2c1cnn2C(C)(C)C, logP: 2.0, SAScore: 3.0, MolWeight: N/A
SMILES: COC(=O)Cc1cc(O)cc2oc(-c3cc(C)c(O)c(O)c3)cc(=O)c12, logP: 2.0, SAScore: 3.0, MolWeight: N/A
SMILES: Cc1cc(C)c(OC(=O)CCC(=O)O)c(C)c1C, logP: 4.0, SAScore: 2.0, MolWeight: N/A
SMILES: CC(C)c1cc(CSCC(=O)O)cc(C(C)(C)C)c1O, logP: 6.0, SAScore: 3.0, MolWeight: N/A
SMILES: Cc1c(C)c2c(c(C)c1O)CCC(C)(C(=O)NCCS)O2, logP: 2.0, SAScore: 4.0, MolWeight: N/A
SMILES: Cc1cc(C)c(OC(=O)CCc2ccc(O)c(O)c2)c(C)c1, logP: 4.0, SAScore: 2.0, MolWeight: N/A
SMILES: Cc1cc(C(C)(C)C)c(O)c(C(C)(C)C)c1, logP: 4.0, SAScore: 2.0, MolWeight: N/A
SMILES: Cc1cc(C(C)(C)C)c(O)c(C(C)(C)C)c1, logP: 6.0, SAScore: 2.0, MolWeight: N/A
SMILES: COC(=O)[C@H](CS)NC(=O)/C(=C/c1cc(C)c(O)c(C)c1)C(=O)OC(C)(C)C, logP: 2.0, SAScore: 4.0, MolWeight: N/A
SMILES: Cc1cc(C(C)(C)C)c(O)c(C(C)(C)C)c1, logP: 4.0, SAScore: 2.0, MolWeight: N/A
SMILES: CCCC(=O)CCc1c(C)c(C)c(O)c2c1Cc1cc(C)c(O)c(CC=C(C)C)c1CC2, logP: 6.0, SAScore: 4.0, MolWeight: N/A
SMILES: C/C(=C/CC/C(C)=C/CC/C(C)=C/C(=O)C/C(C)=C/Cc1cc(O)cc(C)c1O)CO, logP: 6.0, SAScore: 3.0, MolWeight: N/A
SMILES: Cc1cc(O)c(C)c(O)c1C, logP: 2.0, SAScore: 2.0, MolWeight: N/A
SMILES: COc1ccc(OC)c(C2=NOC(Cn3cnc4c(N)ncnc43)C2)c1, logP: 2.0, SAScore: 3.0, MolWeight: N/A
SMILES: Cc1cc(O)c(C(=O)O)c(C)c1O, logP: 2.0, SAScore: 2.0, MolWeight: N/A
SMILES: COC(=O)Cc1cc(O)cc2oc(-c3cc(C)c(O)c(O)c3)cc(=O)c12, logP: 2.0, SAScore: 3.0, MolWeight: N/A
SMILES: Cc1cc(C(C)(C)C)c(O)c(C(C)(C)C)c1, logP: 4.0, SAScore: 2.0, MolWeight: N/A
SMILES: CCCCNCc1c(O)c(CC=C(C)C)c(O)c2c(=O)c3c(CC=C(C)C)c(O)c(O)cc3oc12, logP: 4.0, SAScore: 3.0, MolWeight: N/A
SMILES: C/C(=C/C(=O)C/C(C)=C/Cc1cc(O)cc(C)c1O)CC/C=C(\C)Cc1cc(C)co1, logP: 6.0, SAScore: 4.0, MolWeight: N/A
SMILES: CC(C)C(C(=O)NC(C)(C)C)N(Cc1ccccc1)C(=O)c1ccccc1[Se][Se]c1ccccc1C(=O)N(Cc1ccccc1)C(C(=O)NC(C)(C)C)C(C)C, logP: 6.0, SAScore: 4.0, MolWeight: N/A
SMILES: CC(=O)NC[C@]1(C)CCC[C@]2(C)c3ccc(C(C)C)cc3/C(=N\NC(N)=S)C[C@@H]12, logP: 6.0, SAScore: 4.0, MolWeight: N/A
SMILES: CN(CCCN1C(=O)CSC1c1cc(C(C)(C)C)c(O)c(C(C)(C)C)c1)CCOc1ccc2c(c1)OCO2, logP: 6.0, SAScore: 4.0, MolWeight: N/A
SMILES: COC(=O)CCSP(=S)(OC)OC, logP: 2.0, SAScore: 4.0, MolWeight: N/A
SMILES: Cc1cc(C)c(OC(=O)c2cccc([N+](=O)[O-])c2)c(C)c1, logP: 4.0, SAScore: 2.0, MolWeight: N/A
SMILES: Cc1cc(C)c(O)c(C(C)C)c1C, logP: 4.0, SAScore: 2.0, MolWeight: N/A
SMILES: COC(=O)[C@H](CS)NC(=O)/C=C/c1cc(C(C)C)c(O)c(C)c1O, logP: 2.0, SAScore: 3.0, MolWeight: N/A
SMILES: CCOC(=O)C(/N=N/c1ccc([Se]C#N)cc1)C(C)=O, logP: 2.0, SAScore: 4.0, MolWeight: N/A
SMILES: Cc1cc(C)c(O)c(C)c1C, logP: 4.0, SAScore: 2.0, MolWeight: N/A
SMILES: Cc1cc(C)c(OC(=O)c2ccccc2F)c(C)c1O, logP: 4.0, SAScore: 2.0, MolWeight: N/A
SMILES: Cc1cc(O)c(C(=O)O)cc1C, logP: 2.0, SAScore: 2.0, MolWeight: N/A
SMILES: C/C(=C\C(=O)C/C(C)=C/Cc1cc(O)cc(C)c1O)CC/C=C(\C)Cc1cc(C)co1, logP: 6.0, SAScore: 4.0, MolWeight: N/A
SMILES: CCOC(=O)C(CSSCC(NC(=O)/C=C/c1ccc(O)c(OC)c1)C(C)C)NC(=O)/C=C/c1ccc(O)c(OC)c1, logP: 4.0, SAScore: 4.0, MolWeight: N/A
SMILES: CCCCC(=O)Oc1cc(C(=O)OCC(CC)CCCC)ccc1C(=O)OCC(CC)CCCC, logP: 6.0, SAScore: 3.0, MolWeight: N/A
SMILES: CCCCCCCCCCOC(=O)c1cc(OC)c(O)c(OC)c1, logP: 6.0, SAScore: 2.0, MolWeight: N/A
SMILES: Cc1cc(O)c(C)c(O)c1C, logP: 2.0, SAScore: 2.0, MolWeight: N/A
SMILES: Cc1cc(C(C)(C)C)c(O)c(C(C)(C)C)c1, logP: 6.0, SAScore: 2.0, MolWeight: N/A
SMILES: C/C(=C\C(=O)C/C(C)=C/Cc1cc(O)cc(C)c1O)CC/C=C(\C)Cc1cc(C)co1, logP: 6.0, SAScore: 3.0, MolWeight: N/A
SMILES: COC(=O)[C@H](Cc1c[nH]c2ccccc12)NC(=O)/C=C/c1cc(CC=C(C)C)c(O)c(OC)c1, logP: 4.0, SAScore: 3.0, MolWeight: N/A
SMILES: COC(=O)[C@H](CCSC)NC1=C(C)C(=O)C(O)=C([C@H](C)CCC=C(C)C)C1=O, logP: 4.0, SAScore: 4.0, MolWeight: N/A
SMILES: Cc1cc(C(C)(C)C)c(O)c(C(C)(C)C)c1, logP: 6.0, SAScore: 2.0, MolWeight: N/A
SMILES: Cc1cc(C)c(OC(=O)c2ccc(O)c(O)c2)c(C)c1, logP: 4.0, SAScore: 2.0, MolWeight: N/A
SMILES: Cc1cc(C(C)(C)C)c(O)c(C(C)(C)C)c1, logP: 6.0, SAScore: 2.0, MolWeight: N/A
SMILES: CC1=CC(=O)[C@H](c2c(O)cc(/C=C/c3ccc(O)c(O)c3)oc2=O)[C@@H](c2ccc(O)c(O)c2)O1, logP: 4.0, SAScore: 4.0, MolWeight: N/A
SMILES: C/C(=C/C(=O)C/C(C)=C/Cc1cc(O)cc(C)c1O)CC/C=C(\C)Cc1cc(C)co1, logP: 6.0, SAScore: 4.0, MolWeight: N/A
SMILES: COC(=O)C1=CC(=O)[C@]2(C)C[C@@H](O)[C@H](C)[C@@]2(C)OC1=O, logP: 2.0, SAScore: 4.0, MolWeight: N/A
SMILES: CCOC(=O)[C@@H](CC(C)C)NC1=C(C)C(=O)C(O)=C([C@H](C)CCC=C(C)C)C1=O, logP: 4.0, SAScore: 3.0, MolWeight: N/A
SMILES: Cc1cc(C)c(OC(=O)c2ccc(O)c(O)c2)c(C)c1, logP: 4.0, SAScore: 2.0, MolWeight: N/A
SMILES: COc1c(C)c(C)c2c(c1C)CCC(C)(/C=[N+](\[O-])C(C)(C)C)O2, logP: 4.0, SAScore: 4.0, MolWeight: N/A
SMILES: Cc1cc(C)c(O)c(C)c1C, logP: 4.0, SAScore: 2.0, MolWeight: N/A
SMILES: COc1ccc2c(c1)c(CCNC(C)=O)cn2C1=C(C)C(=O)C(O)=C([C@H](C)CCC=C(C)C)C1=O, logP: 4.0, SAScore: 4.0, MolWeight: N/A
SMILES: C/C(=C/C(=O)C/C(C)=C/Cc1cc(O)cc(C)c1O)CC/C=C(\C)Cc1cc(C)co1, logP: 6.0, SAScore: 4.0, MolWeight: N/A
SMILES: CC(C)=CCC/C(C)=C/CCC1(C)CCc2c(cc(C)c(O)c2C)O1, logP: 6.0, SAScore: 4.0, MolWeight: N/A
SMILES: C=CC(C)(C)c1[nH]c2ccccc2c1/C=c1\[nH]c(=O)c(=C)[nH]c1=O, logP: 2.0, SAScore: 4.0, MolWeight: N/A
SMILES: COc1cc2c(cc1O)CCC(C)(CC(=O)N[C@@H](C)C(=O)O)O2, logP: 2.0, SAScore: 3.0, MolWeight: N/A
SMILES: C/C(=C\C(=O)C/C(C)=C/Cc1cc(O)cc(C)c1O)CC/C=C(\C)Cc1cc(C)co1, logP: 6.0, SAScore: 4.0, MolWeight: N/A
SMILES: Cc1cc(O)c(C)c(O)c1, logP: 2.0, SAScore: 2.0, MolWeight: N/A
SMILES: C/C(=C\c1cc(C(C)(C)C)c(O)c(C(C)(C)C)c1)Cc1cc(O)cc(C(=O)O)c1, logP: 6.0, SAScore: 3.0, MolWeight: N/A
SMILES: COC(=O)C(CS)NC(=O)/C=C/c1cc(C(C)(C)C)c(O)c(C(C)(C)C)c1, logP: 2.0, SAScore: 3.0, MolWeight: N/A
SMILES: CCOC(=O)C(=Cc1cc(O)c(O)c(O)c1)C(C)C, logP: 2.0, SAScore: 3.0, MolWeight: N/A
SMILES: CCc1ccc2[nH]c3c(c2c1)CCNC3c1cc(C)c(O)c(C)c1, logP: 6.0, SAScore: 3.0, MolWeight: N/A
SMILES: Cc1cc(C)c(OC(=O)c2cccc([N+](=O)[O-])c2)c(C)c1, logP: 4.0, SAScore: 2.0, MolWeight: N/A
SMILES: CCCCCCCC/C=C/[C@@H](C)O[C@@H]1Cc2cc(O)c(O)cc2O[C@H]1c1ccc(O)c(O)c1, logP: 6.0, SAScore: 4.0, MolWeight: N/A
SMILES: CCN(Cc1c(O)c(O)c(O)c2c(=O)cc(-c3ccc(C)cc3)oc12)C(C)C, logP: 4.0, SAScore: 3.0, MolWeight: N/A
SMILES: C/C(=C/C(=O)C/C(C)=C/Cc1cc(O)cc(C)c1O)CCCC(C)(O)C(=O)/C=C/C(C)(C)O, logP: 4.0, SAScore: 4.0, MolWeight: N/A
SMILES: Cc1cc(C)c(O)c(C(C)C)c1C, logP: 4.0, SAScore: 2.0, MolWeight: N/A
SMILES: Cc1c(O)c(C(=O)C(C)C)c(O)c2c1[C@@H](C)[C@H](C)O2, logP: 2.0, SAScore: 4.0, MolWeight: N/A
SMILES: CCC(C)(C)N/C=C1/C=C(C=O)c2cc(O)ccc2C1=O, logP: 2.0, SAScore: 3.0, MolWeight: N/A
SMILES: Cc1cc(O)c(C)c(O)c1, logP: 2.0, SAScore: 2.0, MolWeight: N/A
SMILES: COC(=O)[C@@H](N)CC(=O)NCCOc1ccc(C2=[N+]([O-])C(C)(C)C(C)(C)N2O)cc1, logP: 2.0, SAScore: 4.0, MolWeight: N/A
SMILES: COC(=O)[C@@H](NC1=C(C)C(=O)C(O)=C([C@H](C)CCC=C(C)C)C1=O)C(C)C, logP: 4.0, SAScore: 4.0, MolWeight: N/A
SMILES: Cc1cc(C(C)(C)C)c(O)c(C(C)(C)C)c1, logP: 6.0, SAScore: 2.0, MolWeight: N/A
SMILES: C/C(=C/CC/C(C)=C/CCC(C)C)Cc1cc(C)c(O)cc1C, logP: 4.0, SAScore: 3.0, MolWeight: N/A
SMILES: CC(C)=CCc1cc([C@@H]2CC(=O)c3c(cc(O)c(CC=C(C)C)c3O)O2)c(O)cc1O, logP: 4.0, SAScore: 4.0, MolWeight: N/A
SMILES: CCCCCCCCCCCCCC(=O)O[C@@H]1Cc2ccc(O)c(O)c2O[C@H]1c1ccc(O)c(O)c1, logP: 6.0, SAScore: 3.0, MolWeight: N/A
SMILES: Cc1cc(O)c(C)c(O)c1C, logP: 2.0, SAScore: 2.0, MolWeight: N/A
SMILES: COC(=O)[C@H](CS)NC(=O)/C=C/c1cc(C(C)(C)C)c(O)c(C(C)(C)C)c1, logP: 2.0, SAScore: 3.0, MolWeight: N/A
SMILES: CC(C)=CCCC1(C)C=Cc2c(O)c(C(=O)/C=C/c3ccccc3O)cc(O)c2O1, logP: 6.0, SAScore: 4.0, MolWeight: N/A
SMILES: COc1cc([C@H](OC)[C@H](COC(=O)c2ccc(O)cc2)Oc2ccc(/C=C/COC(=O)c3ccc(O)cc3)cc2OC)ccc1O, logP: 6.0, SAScore: 4.0, MolWeight: N/A
SMILES: Cc1cc(O)c(C)c(O)c1, logP: 2.0, SAScore: 2.0, MolWeight: N/A
SMILES: CCC[C@H](O)C[C@@H]1Cc2cc(OC)c(OC)c(O)c2C(=O)O1, logP: 4.0, SAScore: 4.0, MolWeight: N/A
SMILES: COC(=O)c1c(C(=O)OC)c(-c2ccc(F)c(Cl)c2)n2c1CS(=O)(=O)C2, logP: 2.0, SAScore: 4.0, MolWeight: N/A
SMILES: CCOC(=O)C1=C(C)Nc2nc3c(c(N)c2C1c1cc(C)c(O)c(C)c1C)CCC3, logP: 4.0, SAScore: 3.0, MolWeight: N/A
SMILES: CO[C@@H](c1ccc(O)cc1)[C@H](Oc1ccc(/C=C/c2cc(O)c3c(c2)OC(C)(C)CC3)cc1)c1cc(O)c(CC=C(C)C)c(O)c1, logP: 6.0, SAScore: 4.0, MolWeight: N/A
SMILES: CC[C@H](C)C(=O)c1c(O)c(C)c2oc3c(C)c(O)c(C(=O)C(C)C)c(O)c3c2c1O, logP: 6.0, SAScore: 4.0, MolWeight: N/A
SMILES: C/C1=C/CC/C(C)=C/CCC(C)(CCc2cc(O)c(CN(C)C)c(O)c2C(C)(C)C)O1, logP: 6.0, SAScore: 4.0, MolWeight: N/A
SMILES: Cc1cc(O)c(C)c(O)c1, logP: 2.0, SAScore: 2.0, MolWeight: N/A
SMILES: Cc1cc(C)c(OC(=O)c2ccc(O)c(O)c2)c(C)c1, logP: 4.0, SAScore: 2.0, MolWeight: N/A
SMILES: Cc1cc(C(C)(C)C)c(O)c(C(C)(C)C)c1, logP: 6.0, SAScore: 2.0, MolWeight: N/A
SMILES: Cc1cc(O)c(C)c(O)c1C, logP: 2.0, SAScore: 2.0, MolWeight: N/A
SMILES: CCCN1CCc2c([nH]c3ccc(CC)cc23)C1c1cc(C(C)(C)C)c(O)c(C(C)(C)C)c1, logP: 6.0, SAScore: 3.0, MolWeight: N/A
SMILES: CCOC(=O)C(CS)NC(=O)C1(C)CCc2c(C)c(O)c(C)c(C)c2O1, logP: 2.0, SAScore: 4.0, MolWeight: N/A
SMILES: CCCC[Sn](Cl)(CCCC)CCCC, logP: 6.0, SAScore: 4.0, MolWeight: N/A
SMILES: C/C(=C\Cc1cc(O)c(I)cc1O)CCCC(C)(C)O, logP: 4.0, SAScore: 3.0, MolWeight: N/A
SMILES: CCCN1CCc2c([nH]c3ccc(CC)cc23)C1c1cc(C)c(O)c(O)c1, logP: 6.0, SAScore: 3.0, MolWeight: N/A
SMILES: Cc1cc(O)c(C)c(O)c1C, logP: 2.0, SAScore: 2.0, MolWeight: N/A
SMILES: Cc1cc(C(C)(C)C)c(O)c(C(C)(C)C)c1, logP: 6.0, SAScore: 2.0, MolWeight: N/A
SMILES: CC(C)=CCC/C(C)=C/C(=O)C/C(C)=C/Cc1cc(O)cc(C)c1O, logP: 6.0, SAScore: 4.0, MolWeight: N/A
