SMILES	 logP	 SAScore
 COc1ccc(CCN(C)CCCC(CNC(=O)C2=CC(C)(C)N(O)C2(C)C)(c2ccc(OC)c(OC)c2)C(C)C)cc1OC	6	4
 CCOC(=O)[C@@H]1CC(=O)c2sccc2[C@H]1c1cc(OC)cc(OC)c1	4	4
 Cn1c2c(c(=O)n(Cc3ccccc3)c1=O)C(c1ccc(Cl)cc1)CC(=O)N2	2	3
 COc1ccc(C2=[N+]([O-])C(C)(C)C(C)(C)N2[O])cc1OC	2	3
 CCCCOC(=O)C=Cc1ccccc1C(=O)OCCCC	4	2
 Cc1ccc(Nc2ccccc2C(=O)OC2CC(C)CCC2C(C)C)cc1C	6	3
 COc1ccc(N2CC(C(=O)NCc3nnc(SCC(=O)OCC(=O)NC4CCCC(C)C4C)n3N)CC2=O)cc1	2	4
 COc1ccc(Cc2nnc(NC(=O)Nc3ccc(OC)c(OC)c3)s2)cc1	4	2
 CCOC(=O)c1ccc(C#N)nc1SCc1ccc(Cl)cc1	4	2
 CC(=O)c1c(C)nc(SCC(=O)Nc2ccc(OCc3ccccc3)cc2)n1-c1ccccc1	6	2
 CC1(C)O[C@H]2C=C[C@@]3(C[C@H]2O1)OC(C)(C)OC3=O	2	4
 COc1cc(C(=O)COc2ccc(C)cc2)cc2c1OCO2	4	2
 CCCC(=O)Oc1c(O)c(-c2ccc(O)cc2)c(OC(=O)C[C@@H](C)OC(C)=O)c(O)c1-c1ccc(O)cc1	6	4
 Cc1ccc(-c2nnc(Nc3ccccc3)c3ccccc23)cc1S(=O)(=O)NCC1CCCO1	6	3
 Cc1cc(C)c(S(=O)(=O)N2CCN(c3ccccn3)CC2)c(C)c1	2	2
 Cc1cc(C)cc(NC(=S)N2CCN(C)CC2)c1	2	3
 O=C(Nc1ccsc1C(=O)O)c1cccnc1	2	2
 COC(=O)c1c(C(=O)OC)c(-c2cccc(Cl)c2)n2c1CS(=O)(=O)C2	2	3
 Cc1ccc(-c2noc(-c3ccc(F)c(F)c3)n2)cn1	4	2
 CC1=CCC[C@H]2[C@](C)(Cc3cc(O)c(Sc4nc5ccccc5s4)cc3O)[C@@H](C)CC[C@]12C	6	4
 COc1ccc(Br)c(-c2nnc3n2NC(c2cccc(Cl)c2)S3)c1	4	3
 COc1ccc(CCN(C)CCCC(CNC(=O)C2=CC(C)(C)N(O)C2(C)C)(c2ccc(OC)c(OC)c2)C(C)C)cc1OC	6	4
 Cc1cc(=O)oc2c(-c3nn(-c4ccc(Cl)cc4)cc3C=O)c(O)c(-c3nn(-c4ccc(Cl)cc4)cc3C=O)cc12	6	3
 CC(C)C(C(=O)NC(C)(C)C)N(Cc1ccccc1)C(=O)c1ccccc1[Se][Se]c1ccccc1C(=O)N(Cc1ccccc1)C(C(=O)NC(C)(C)C)C(C)C	6	4
 C=C(C)[C@@H]1CC[C@]2(CO)CC[C@]3(C)[C@H](CC[C@@H]4[C@@]5(C)CC[C@H](O)C(C)(C)[C@@H]5CC[C@]43C)[C@@H]12	6	4
 CN1CC(O)(c2ccc3c(c2)Nc2ccccc2S3)OC2CCCCC21	6	4
 C[N+]1(C)C2CCC1CC(OC(=O)C(CO)c1ccccc1)C2	2	4
 COc1cc(/C=C/C(=O)OCC2CCN(Cc3ccccc3)CC2)ccc1O	4	2
 Fc1ccc(-c2noc(-c3ccc(F)c(F)c3)n2)cc1F	4	2
 Cc1c(C)c2c(c(C)c1O)CCC(C)(C(=O)O)O2	2	3
 CC1CC(C)C(=O)C(C(O)CC2CC(=O)NC(=O)C2)C1	2	4
 COc1ccccc1CN(C)Cc1ccc(C(=O)NCCc2c[nH]c3ccccc23)cc1	4	2
 O=C(Cc1csc(NC(=O)Nc2cccc(Cl)c2)n1)NCc1ccco1	4	2
 O=C(NCc1ccco1)c1cnc(N2CCN(c3ccccc3)CC2)s1	2	2
 CCOC(=O)C1Nc2ccc(-c3ccc4c(c3)OCO4)cc2C2C=CCC12	4	4
 CC(C(=O)NCCc1ccccc1)c1cccc(C(OC(=O)NCCc2ccccc2)c2ccccc2)c1	6	3
 COc1ccc(-c2c(C)c3cc(Cl)ccc3oc2=O)cc1OCc1ccccc1	6	2
 Cc1ccc(C(=O)CSc2ncc(C)c(=O)[nH]2)cc1	2	2
 Cc1ccc(N2CCN(S(=O)(=O)c3ccc(C)cc3)CC2CC(C)C)cc1	4	3
 Cc1ccc(NC(=O)c2ccccc2N(c2ccccc2)S(=O)(=O)c2ccccc2)c(C)c1	6	2
 OCCCn1c(C2CCCN2c2nc(-c3ccc(F)cc3)cs2)nc2cc(Cl)c(N3CCCCCC3)cc21	6	3
 COc1ccc(C2CC(c3ccc4c(c3)OCO4)=Cc3n[nH]c(O)c32)cc1	4	3
 COc1cc([C@H](O)[C@H](CO)Oc2c(OC)cc(-c3cc(=O)c4c(O)cc(O)cc4o3)cc2OC)ccc1O	4	4
 CCCCCCCCCCCCCCCCC1CO1	6	2
 O=C(c1ccc(O)cc1O)c1ccccc1-c1ccccc1O	4	2
 COc1ccc(-c2c(C)c3ccccc3oc2=S)cc1OC	6	2
 CC12C(=O)N(c3cccc(F)c3)C(=O)N1C(c1ccc(Cl)cc1)C1C(=O)N(C3CCCCC3)C(=O)C12	4	4
 COC(=O)[C@]12Cc3c([nH]c4ccccc34)[C@@H](c3ccc(Cl)cc3)N1[C@@H]1c3c(ccc4ccccc34)OC[C@@H]1C2	6	4
 CCOP(=S)(OCC)SCn1c(=O)oc2cc(Cl)ccc21	4	3
 COc1ccc(/C=C/C(=O)/C=C/c2ccccc2)cc1OC	4	2
 COc1cc(C2Oc3cc([C@H]4Oc5cc(O)cc(O)c5C(=O)[C@@H]4O)ccc3OC2COC(=O)c2ccc3c(c2)OCO3)ccc1O	4	4
 O=C(/C=C/c1ccc(O)c(O)c1)Nc1ccc2ccccc2c1	4	2
 COc1ccc(C2=NOC(c3ccc(C)cc3)C2S(=O)(=O)CC2=NCCS2)cc1	4	4
 C=CC(C)(CC/C=C(\C)CC/C=C(\C)[C@@H](O)[C@@H](O)C=C(C)C)Oc1ccc(O)cc1CC(=O)OC	6	4
 CC(C)=CCC/C(C)=C/CCC1(C)CCc2c(cc(C)c(O)c2C)O1	6	4
 CC1(C)N([O])C(c2ccc(OCC(=O)N[C@@H](Cc3ccc(O)cc3)C(=O)N[C@@H](CCCNC(=N)N)C(=O)O)cc2)=[N+]([O-])C1(C)C	2	4
 COc1cc2c(cc1OC)C1(O)c3ccccc3C(=O)N1CC2	2	3
 COc1cc(C2Oc3cc(C4CC(=O)c5c(O)cc(O)cc5O4)ccc3OC2c2cc(C(=O)Nc3ccc([N+](=O)[O-])cc3)on2)ccc1O	6	4
 Cc1ccc(NC(=O)CSc2nncn2N)cc1C	2	2
 C/C(=N\Nc1ccc(C)cc1)c1cc2c(C)cc(=O)oc2c(/C(C)=N/Nc2ccc(C)cc2)c1O	6	3
 O=S1(=O)CCC(Nc2ccc(F)c(Cl)c2)C1	2	3
 CNC(=O)C(CC(C)C)NC(=O)c1ccc(F)cc1	2	3
 CS(=O)(=O)c1ccc(C(=O)c2ccccc2C(=O)Nc2cccc(C(=O)O)c2)c(Cl)c1	4	2
 CCCCCCCC/C=C\CCCCCCCC(=O)OC[C@H]1O[C@@H](Oc2c(-c3ccc(O)c(O)c3)oc3cc(O)cc(O)c3c2=O)[C@H](O)[C@@H](O)[C@@H]1O	6	4
 CCN(Cc1ccc(/C=C2\Oc3cc(OC)c(OC)cc3C2=O)cc1O)Cc1ccccc1N(C)C	4	3
 CC1(C)CC2CC(C)(CN2C(=O)Cc2cc([N+](=O)[O-])ccc2[N+](=O)[O-])C1	4	4
 Cc1ccc(S(=O)(=O)Nc2ccnc(NC(=O)c3ccccc3Br)c2)cc1	4	2
 CC(C)(C)NC(=O)C1C2C=CC3(CN(Cc4cccs4)C(=O)C13)O2	2	4
 CCCCC(CC)COCCCN	2	3
 COC(=O)c1ccc(CCC(=O)N2CCN(c3ccccc3)CC2)o1	2	2
 CCCC(CO)NC(=O)C1C=C2c3cccc4c3c(cn4C)CC2N(C)C1	2	4
 COc1c(C)cc(O)cc1C/C=C(\C)CC(=O)/C=C(\C)CCC[C@@]1(C)O[C@@H](C(C)(C)O)CC1=O	4	4
 Clc1ccc(Oc2ccc(Br)cc2-c2nc(-c3ccncc3)no2)cc1	6	2
 Cc1ccc(Cl)c(NC(=O)C2CC3CCC2C3)c1	4	3
 CC(C)=CCC[C@@H](C)C1=C(O)C(=O)C(C)=CC1=O	4	4
 CC(C(=O)NC1CCCC1)c1cccc(C(OC(=O)NC2CCCC2)c2ccccc2)c1	6	3
 Cc1ccc2oc(=O)c(C(=O)NCCCCCCCCN)c(O)c2c1	2	2
 CC(Oc1ccc(Cl)cc1Cl)C(=O)O	2	3
 CC(C)=CC(O)C/C(C)=C/CC/C(C)=C/C(=O)C/C(C)=C/Cc1cc(O)cc(C)c1O	6	4
 COc1cc(CCN(CCCC(C#N)(c2ccc(OC)c(OC)c2)C(C)C)CC2=CC(C)(C)N(O)C2(C)C)ccc1C	6	4
 Cc1ccc(NC(=O)Cn2c(=O)n(CC(=O)NCCCN3CCCC3)c(=O)c3ccccc32)cc1	2	2
 CCCCCC(O)C=CC1C(O)CC(O)C1CC=CCCCC(=O)O	4	4
 CCCCN1C(=O)/C(=N/NC(=S)N[C@@H]2O[C@H](COC(C)=O)[C@@H](OC(C)=O)[C@H](OC(C)=O)[C@H]2OC(C)=O)c2ccccc21	2	4
 Cc1cc2c(cc1C)C(Cl)(Cl)C(C)N2C1=NC(=O)NC(=O)C1(C)C	4	3
 CO/N=C1\[C@H]2CCC[C@@H]1[C@H](c1ccc(Cl)cc1)N(C)[C@@H]2c1ccc(Cl)cc1	6	4
 CC1=CCC2C(c3ccc(Cl)c(F)c3)=C(C)C=C(C(C)=C(C#N)C#N)C2C1	6	4
 CN(C)CC(C)(C)c1cc(CC(C)(C)c2cc(C(C)(C)C)cc(-n3nc4ccccc4n3)c2O)ccc1O	6	4
 O=C(Cc1ccccc1)c1c(O)cc(O)cc1O	2	2
 Cc1c(-c2ccccc2Br)c(=O)oc2ccccc12	4	2
 O=C(Nc1ccc(Br)cc1)Nc1nc(-c2cc3ccccc3o2)cs1	6	2
 Cc1ccc(OCC(=O)NN=Cc2ccc([N+](=O)[O-])o2)cc1	2	2
 CCCCC(CC)COC(=O)C(C#N)=C(c1ccccc1)c1ccccc1	6	3
 O=C(O[C@@H]1Cc2c(O)cc(O)cc2O[C@@H]1c1cc(O)c(O)c(O)c1)c1cc(O)c(O)c(O)c1	2	4
 CCCC[Sn](Cl)(CCCC)CCCC	6	4
 CC(=O)COc1ccc(/C=C2\CCC/C(=C\c3ccc(OC(C)=O)c(OC(C)=O)c3)C2=O)cc1OC(C)=O	4	3
 CC1(C)C=Cc2c(O)c(Cc3c(O)c4c(c(C(=O)/C=C/c5ccc(O)c(O)c5O)c3O)OC(C)(C)C=C4)c(O)c(C(=O)/C=C/c3ccc(O)c(O)c3O)c2O1	6	3
 CCN(C(=O)Cn1nc(C)c2ccccc2c1=O)c1ccc(O)cc1	2	2
 CCCCCCCCCCCCCCOc1ccc(C(=O)O)cc1O	6	2
 Oc1cc(O)cc(Oc2c(O)cc(O)c3c2Oc2c(O)cc(Oc4c(O)cc(Oc5c(O)cc(O)c6c5Oc5c(O)cc(O)cc5O6)cc4O)cc2O3)c1	6	4
 CCC(=O)O[C@@H]1Cc2cc3c(c(O)c2-c2c(O)c4c(c(OC)c21)C(=O)c1c(O)cccc1C4=O)C(=O)O[C@H](C)C3	4	4
 COc1ccc2c3c1O[C@H]1C[C@@H](O)C=C[C@@]31CCN(C)C2	2	4
 COc1cc(CCCO)ccc1O[C@H](CO)[C@@H](O)c1ccc(O)cc1	2	3
 COc1ccc(/C=C2\Oc3ccccc3C2=O)cc1OC	4	2
 Cc1ccc(OP(=O)(Oc2ccc(C)cc2)Oc2cccc(C)c2)cc1	6	2
 CC(Cc1ccc(O)c(O)c1)C(C)Cc1ccc(O)c(O)c1	4	3
 CC(C)=CCC[C@@H](C)C1=C(O)C(=O)C(C)=CC1=O	4	4
 O=C(O)c1ccc2c(c1)C(=O)c1ccccc1C2=O	2	2
 COc1cc(O)c(C(=O)/C=C/c2ccc(Cl)cc2)c(OC)c1	4	2
 COc1cc(C2Oc3cc(-c4oc5cc(OCC=C(C)C)cc(O)c5c(=O)c4O)ccc3OC2CO)ccc1OCC=C(C)C	6	4
 COc1cccc(Nc2cccc3c(C)c(C)sc23)c1	6	2
 Cc1ccc(C2CNN=C2S(=O)(=O)CC2=NCCS2)cc1	2	4
 O=C1NC(=Nc2ccccc2)SC1=CC=Cc1ccco1	4	3
 CCCCNCc1c(O)c(CC=C(C)C)c(O)c2c(=O)c3c(CC=C(C)C)c(OC)c(O)c(CN(C)C)c3oc12	6	3
 CCN(Cc1ccc(N(C)C)cc1)Cc1cc(-c2ccc(C(C)C(=O)OC)cc2F)ccc1O	6	3
 O=C(Cc1ccc(O)cc1)c1ccc(O)c(O)c1O	2	2
 Cc1ccc2c(c1)Sc1cc(C)ccc1OCC(=O)NCCNCCNC(=O)CO2	2	3
 CC(=O)Nc1ccc(C2N=NC(c3ccc(C)cc3)=N2)cc1	4	3
 CC1CN(C(C)(C)C)c2nc3c(c(=O)n(CC(=O)Nc4ccc(Cl)cc4)c(=O)n3C)n2C1	4	3
 COc1cc(-c2nnc(C3CCc4cc(F)ccc4O3)o2)cc(OC)c1OC	4	3
 CNC(=O)Oc1ccc(C(=O)Nc2ccc(Sc3ccccc3C(=O)O)cc2)cc1	4	2
 CCOC(=O)CC1(N)CCC(C(=O)OCCC(C)C)CC1	2	3
 CC(C)CNC(=O)c1ccc(=O)n(CC(=O)NC2CCCC(C)C2C)c1	2	3
 O=C(c1cccc(Br)c1)c1c(-c2ccccc2)oc2ccc(O)cc12	6	2
 CCCCC(CC)C(=O)OCCOCCOCCOC(=O)C(CC)CCCC	4	3
 Cc1c(C(=O)/C=C/c2ccc3c(c2)OCO3)[n+]([O-])c2ccccc2[n+]1[O-]	2	3
 COc1ccc(/C=C/C(=O)O[C@H](C(=O)O)[C@](O)(Cc2ccc(O)c(O)c2)C(=O)O)cc1OC	2	4
 COc1ccc2c(c1OC)CN1CCc3cc4c(cc3C13C2C(C(=O)Nc1ccccc1)=C(C)N3NC(=O)Nc1ccccc1)OCO4	6	4
 CC(=O)c1c(C)nc(SCC(=O)Nc2ccc(OCc3ccc(F)cc3)cc2)n1-c1ccc(F)cc1	6	2
 O=C(Nc1cccc2cccc(NC(=O)c3ccc(-c4ccccc4)cc3)c12)c1ccccc1	6	2
 CC(C)(C)n1nnnc1C(c1ccc2c(c1)OCO2)N1CCOCC1	2	3
 COc1cc([C@@H]2OC[C@@H]3[C@H]2CO[C@H]3c2cc(OC)c(O[C@@H](CO)[C@H](O)c3cccc(O)c3OC)c(OC)c2)ccc1O	4	4
 CC(C)=CCC/C(C)=C/C(=O)C/C(C)=C/Cc1cc(O)cc(C)c1O	6	3
 CCCC(=O)Nc1nc2ccc(C)cc2s1	4	2
 CCOP(=S)(OCC)Oc1nc(Cl)n(C(C)C)n1	4	3
 CC1(C)CCC[C@@]2(C)C1=C(O)C(=O)c1c(O)c3c(c(O)c12)O[C@@H](CO)C3	2	4
 Cc1csc(C(=O)c2ccc(N)cc2)c1C	2	3
 CC12CCC(=O)C=C1CCC1C2CCC2(C)C(O)CCC12	4	4
 Cc1c(C)c2c(c(C)c1O)CCC(C)(C(=O)O)O2	2	3
 COc1ccc(C(NC2=NC3CS(=O)(=O)CC3S2)C(=O)Nc2ccc(C)cc2C(=O)N2CCOCC2)cc1	2	4
 CC1=CC(=O)C=C(C/C=C(\C)CC(=O)/C=C(/C)CC/C=C(\C)Cc2cc(C)co2)C1=O	6	3
 COc1cc2c(cc1O)CCC(C)(CCNC(=O)/C=C(C)/C=C/C=C(C)/C=C/C1=C(C)CCCC1(C)C)O2	6	4
 CCCCCCCCCCCCCCCCCCCN1CC(C)OC(C)C1	6	3
 NC(=NOC(=O)c1ccc(F)cc1)c1cccc([N+](=O)[O-])c1	2	2
 CC12CCC(=O)C=C1CCC1C2CCC2(C)C(O)CCC12	4	4
 CCOC(=O)C(C)NP1(=S)Oc2ccccc2CN1c1ccc(N2Cc3ccccc3OP2(=S)NC(C)C(=O)OCC)cc1	6	4
 CC1(C)N(O)C(c2ccc(OCC(=O)O)cc2)=[N+]([O-])C1(C)C	2	3
 COc1ccc(C2NC(c3ccc(OC)c(OC)c3)C3CC(C)CC2C3=O)cc1OC	4	4
 COc1cc([C@H]2Oc3c(OC)cc4ccc(=O)oc4c3O[C@@H]2COC(=O)c2ccc(O)c(O)c2)ccc1O	2	4
 CCCCCCCCCCCCCCCCCCCOC1=C(O)OC(C(O)CO)C1=O	6	4
 COc1ccc([C@@H]2Oc3cc(OC)c(O)c(OC)c3C(=O)[C@@H]2O)cc1OC	2	3
 CC(C)=CC(=O)C/C(C)=C/CC/C(C)=C/C(=O)C/C(C)=C/Cc1cc(O)cc(C)c1O	6	4
 O=C1CS/C(=N\N=C2CCCC2)N1Cc1ccc(Cl)cc1Cl	4	3
 COc1ccc(NC(=O)c2cc(-c3ccccc3)nc3ccc(C)cc23)c(OC)c1	6	2
 S=C(NN=Cc1ccco1)NC1CC2CCC1C2	2	4
 CC1(C)C(C=C(Cl)Cl)C1C(=O)OCc1cccc(Oc2ccccc2)c1	6	3
 COc1ccc([N+](=O)[O-])cc1C(=O)NC(C)(C)C	2	2
 COc1cc([C@@H]2c3cc4c(cc3C[C@H]3COC(=O)[C@@H]32)OCO4)cc(OC)c1OC(=O)[C@H](Cc1ccccc1)NC(=O)OC1CC(C)(C)N([O])C(C)(C)C1	4	4
 COc1ccc(-c2c(-c3ccccc3)c(-c3ccccc3)n3ccc(C#N)cc23)cc1	6	2
 COc1cccc(CNc2ccc(/C=C/c3ccc(O)cc3)cc2)c1O	6	2
 Cc1ccc(C2CC(c3cccs3)=NN2C(=O)CSC2=NN3CCCC(=O)N=C3S2)cc1	4	3
 O=C1C(c2cccc3ccccc23)Oc2ccccc2N1Cc1ccc(F)cc1	6	3
 CC12CCC(=NOCC(=O)NC(CCC(=O)O)C(=O)O)C=C1CCC1C2CCC2(C)C(O)CCC12	4	4
 COC(=O)[C@H](Cc1c[nH]c2ccccc12)NC1=C(C)C(=O)C(O)=C([C@H](C)CCC=C(C)C)C1=O	4	4
 COc1ccc(C(C)=O)c(O)c1Br	2	2
 COc1ccc(-c2nc(CS(=O)CC(=O)NCC3CCCO3)c(C)o2)cc1	2	3
 Cc1cc(O)c(C(C)(C)C)cc1Sc1cc(C(C)(C)C)c(O)cc1C	6	3
 COc1ccc(C(NC(=O)CC(C)C)c2ccc3cccnc3c2O)cc1	4	3
 Cc1cc(O)c(C(C)(C)C)c(Cc2c(O)cc(C)c(C(C)(C)C)c2O)c1	4	3
 Cc1ccc(C)c(S(=O)(=O)NCC(=O)N2CCN(c3ccccc3)CC2)c1	2	2
 COc1ccc(C(=O)Nc2nc(C)cc(C)n2)cc1OC	2	2
